Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
50m²,"жк. Люлин 6, София",False,"80,000",EUR,Обзаведен,3-ти,8,,,Панел,,,,,,,,,,,"Имоти Комфорт Ви предлага апартамент в подържан ремонтиран вход с контрол на достъпа. Апараментът се състои от кухненски бокс ,хол, спалня ,баня с тоалет.Тераса около 6м2 с настилка гранитогрес. Апартаментът е готов за отдаване под наем или за живеене. Немите в района за подобни апартаменти са около и над 550 лв/месец. Сменена дограма /в дневната е с троен стъклопакет, в спалнята е двоен/, вътрешна изолация. Нова баня. Има обзавеждане и почти нови хладилник и пералня. Пред апартамента няма друг блок и има страхотна панорама към градинката между блоковете.
"
35m²,"жк. Люлин 6, София",False,"51,500",EUR,Обзаведен,1-ви,8,ТЕЦ,,Панел,,,,,,,,,,,"Имоти Сердика 1 продава двустаен апартамент в ж.к. Люлин 6. Маломерен състоящ се от хол, самостоятелна малка спалня и отделен кухненски бокс, баня с тоалетна, килер 5кв.м. залепен към апартамента с възможност за усвояване. За оглед на това и други атрактивни предложения, не се колебайте да ни потърсите на посочения телефон за връзка. В случай, че не ви отговорим на момента, ще ви върнем обаждане при първа възможност. Предлагаме безплатно съдействие за отпускане на ипотечни и потребителски кредити. Преференциални условия! Още актуални оферти за наеми и продажби може да намерите в нашия сайт: www.serdika1.bg. ID:6184
"
86m²,"жк. Люлин 6, София",False,"106,700",EUR,Необзаведен,3-ти,9,Електричество,,Тухла,,,,,,,,,,,"Екипът на Йохоум недвижими имоти има удоволствието да ви представи светъл и слънчев тристаен апартамент с АКТ 16, находящ се на 3-ти жилищен етаж в новопостроена жилищна сграда с разрешение за ползване от 2022г в ж.к Люлин 6. Апартаментът е с площ от 78кв.м., намира се на 3-ти жилищен етаж и се състои от: светла дневна, две спални, баня с тоалетна, балкон. Жилището е на шпакловка и замазка с поставени интериорни врати, блиндирана входна врата, ел.табло, Към апартамента има прилежащо мазе и подземно паркомясто, което се заплаща допълнително. В непосредствена близост се намират училища, детски градини, спирки на градски транспорт, супермаркети и др. За повече информация и организиране на оглед се свържете с нас и цитирайте кода на обявата: 7992.

Разгледайте останалите атрактивни предложения на страницата ни: www.yohome.bg"
20m²,"жк. Люлин 6, София",False,"29,200",EUR,,Партер,5,,,Тухла,,,,,,,,,,,"iHOME REAL ESTATE предлага самостоятелен подземен гараж в тухлена кооперация в Люлин 6 срещу магазин ФАНТАСТИКО и Мол Люлин. Гаражът е широк, топъл и с контролиран достъп и гаражна врата. Има ток, без вода.
Повече за имота Христо Георгиев 0896667310
HOME REAL ESTATE работи по изискванията на БДС EN15733 в съответствие с нормите, заложени в Етичния Професионален Кодекс. Отговаряме за качеството на предоставяните услуги и консултации, свързани с покупка, продажба, наем-управление на имоти и кредитиране!
АГЕНЦИЯ НА ГОДИНАТА ЗА 2021 на годишните награди на imoti.net, пълноправен член на НСНИ и CEPI.
"
66m²,"жк. Люлин 6, София",False,"105,000",EUR,Полуобзаведен,5-ти,8,,,Панел,,,,,,,,,,,"iHOME REAL ESTATE предлага двустаен панелен апартамент в ж.к. Люлин 6.
Имотът е разположен на ет.5 от 8 в добре подържан вход с подменена дограма и входна врата и хубави общи части.
Жилището се състои от голямо входно антре, хол с балкон на юг, спалня с остъклен балкон на север, отделна кухня, голяма баня с тоалетна.
Апартаментът е в добро състояние , с ремонтирана баня , но се нуждае от съвременен ремонт. Подходящ е за преустройство.
Блок 615 е разположен в хубавата част на Люлин 6. В съседство има множество магазини, голяма спортна площадка, футболно игрище, детска площадка и място за разходки.
Имотът е подходящ за преустройство.
За повече информация и огледи : Ради Лафи
iHOME REAL ESTATE работи по изискванията на БДС EN15733 в съответствие с нормите, заложени в Етичния Професионален Кодекс. Отговаряме за качеството на предоставяните услуги и консултации, свързани с покупка, продажба, наем-управление на имоти и кредитиране!
АГЕНЦИЯ НА ГОДИНАТА ЗА 2021 на годишните награди на imoti.net, пълноправен член на НСНИ и CEPI.
"
67m²,"жк. Люлин 6, София",False,"92,900",EUR,Необзаведен,5-ти,8,ТЕЦ,,Тухла,,,,,,,,,,,"Оферта в акция! Без комисион от купувача!
Home Life Ви предлага двустаен апартамент с обща площ 67 кв.м. на 5 етаж в новострояща се бутикова сграда в ж.кв. Люлин, район 6, с отлично местоположение и изглед към Западен Парк и Витоша.
Качествено и модерно ново строителство в район с отлично развита инфраструктура, в близост до основни улици и булеварди с директен и бърз достъп до центъра на столицата. До спирки на градския транспорт, училища, детски градини и хипермаркети, Mega Mall Sofia, а в непосредствена близост е и най-големия парк в столицата - Западен Парк.
Сградата се изпълнява по всички стандарти за високо качество на материали и строителни технологии и отопление, предвидено на ТЕЦ.
Апартамента се издава на шпакловка и замазка, с луксозни блиндирани врати и висок клас дограма.
Срок на завършване март 2023г.
По желание на клиента жилището може да бъде изпълнено и предадено в напълно завършен до ключ вид при допълнително заплащане. 
Посочената цена е с вкл. ДДС.
Възможност за закупуване на паркомясто и подземен гараж на отделна цена.
Изложение: Запад / Север
Разпределение: Входно антре, склад с мокро помещение, дневна с трапезария и кухненски бокс, 1 спалня, 1 баня с тоалетна, 1 балкон.
"
100m²,"жк. Люлин 6, София",False,"115,265",EUR,,5-ти,9,,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава тристаен апартамент в кв. Люлин 6 на комуникативно място в близост до спирки на градски транспорт, училище, детска градина, супермаркети и на 10 минути пешеходно разстояние от метростанция ""Западен Парк"". Състои се от: входно антре, дневна с кухненски бокс и трапезария, две спални, две бани с тоалетни, две тераси. Отопление на ТЕЦ. Качествено изпълнение с материали от най-висок клас, добра топло, хидро и паро изолация, луксозни общи части, асансьор Kone. Предава се на шпакловка и замазка с 7 камерна дограма и блиндирана входна врата. В сградата се продават и други апартаменти. Възможност за допълнително закупуване на паркомясто или гараж. Цена без ДДС. Оферта в агенцията 7973. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефон за връзка: 0885 98 11 00 - Александър Гогов
"
184m²,"жк. Люлин 6, София",False,"297,319",EUR,,8-ми,8,,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава четиристаен апартамент в кв. Люлин 6 на комуникативно място в близост до парк 'Западен парк' до спирки на градски транспорт, магазини, заведения, метростанция, училище, детска градина. Нова сграда с модерна визия. Жилището се състои от: входно антре, дневна с кухненски бокс и трапезария, три спални, едната от които със собствена баня и дрешник, баня с тоалетна, две тераси. Изложение: Югозапад. Възможност за допълнително закупуване на паркомясто или гараж. Предава се на шпакловка и замазка. В сградата предлагаме и други апартаменти! Оферта в агенцията 8262. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефон за връзка: 0885 98 11 00 - Александър Гогов"
98m²,"жк. Люлин 6, София",False,"128,779",EUR,Необзаведен,2-ри,8,,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава тристаен апартамент в кв. Люлин 6 на комуникативно място в близост до парк 'Западен парк' до спирки на градски транспорт, магазини, заведения, метростанция, училище, детска градина. Нова сграда с модерна визия. Жилището се състои от: входно антре, дневна с кухненски бокс и трапезария, две спални, баня с тоалетна, тераса. Изложение: Югозапад. Възможност за допълнително закупуване на паркомясто или гараж. Предава се на шпакловка и замазка. В сградата предлагаме и други апартаменти! Оферта в агенцията 8260. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефон за връзка: 0885 98 11 00 - Александър Гогов
"
98m²,"жк. Люлин 6, София",False,"107,316",EUR,,1-ви,8,ТЕЦ,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава тристаен апартамент в кв. Люлин 6 на комуникативно място в близост до спирки на градски транспорт, училище, детска градина, супермаркети и на 10 минути пешеходно разстояние от метростанция ""Западен Парк"". Състои се от: входно антре, дневна с кухненски бокс и трапезария, две спални, две бани с тоалетни, тераса. Отопление на ТЕЦ. Качествено изпълнение с материали от най-висок клас, добра топло, хидро и паро изолация, луксозни общи части, асансьор Kone. Предава се на шпакловка и замазка с 7 камерна дограма и блиндирана входна врата. В сградата се продават и други апартаменти. Възможност за допълнително закупуване на паркомясто или гараж. Цена без ДДС. Оферта в агенцията 7972. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефон за връзка: 0885 98 11 00 - Александър Гогов
"
