Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
84m²,"кв. Карпузица, София",True,"125,000",EUR,Необзаведен,1-ви,4,Локално отопление,,Тухла,,,,,,,,,,,"""АСГАРД ПРОПЪРТИС"" продава 3-стаен тухлен апартамент, разположен на висок първи етаж в саниран 4-етажен блок. Жилището е с чиста площ 83,95 кв.м. и се състои от дневна, две спални (едната от които преходна), самостоятелна кухня, баня, тоалетна и два балкона. Изключително тихо и зелено място, същевременно на минути от градски транспорт и главни пътни артерии. Продава се с голямо мазе. Отоплението е на ток. АГЕНцИЯТА РАЗПОЛАГА С КЛЮЧ! За контакти: 0899/032-036, 02/465-19-50. "
85m²,"кв. Карпузица, София",True,"112,000",EUR,Необзаведен,2-ри,4,Електричество,Преди Aкт 14,Тухла,,,,,,,,,,,"БЕЗ КОМИСИОННА !!! ДИРЕКТНО ОТ ИНВЕСТИТОР !!!
АЯКС Ви представя страхотен тристаен апартамент в чисто нова сграда в кв. Карпузица
Ситуиран е на 2-ри жилищен етаж и разполага с площ от 85 кв.м.
Разпределение: вх. антре, хол с кухненски бокс, две спални, баня с тоалетна  и тераса. 
Архитектурата на сградата е с изключително модерен стил с луксозно изпълнение на фасада и общи части. 
Сигурността на сградата ще бъде обезпечена чрез контролиран достъп и видео наблюдение.

По желание на собствениците може да се предложи и напълно довършване на жилището.
Покупката на жилище е изключително важен момент от живота на всеки човек и за това искаме да предложим най- доброто. 
Услугите, които можем да предложим, включват:
Получаване на одобрение за ипотечен кредит.
Застраховка на движимо и недвижимо имущество.
Строителни, ремонтни дейности и изготвяне на 3-д интериорен дизайн, за да си представите как би изглеждал вашия мечтан дом
Юридически и счетоводни услуги и др.

За удобство на клиента, екипът ни е договорил с нашите финансови партньори преференциални условия за банков кредит.

При интерес към този или друг имот се свържете с нас за повече информация, безплатна консултация или уговорка за оглед.

Референтен номер:128310
"
105m²,"кв. Карпузица, София",True,"255,000",EUR,Обзаведен,2-ри,5,Локално отопление,,Тухла,,,,,,,,,,,"Агенция за недвижими имоти Калиста Естейт има огромното удоволствие да ви представи тристаен апартамент в ж.к. Карпузица.

ОБЗАВЕЖДАНЕ: напълно обзаведен;
РАЗПРЕДЕЛЕНИЕ: входно антре с два коридора, хол с кухненски бокс и трапезария, спалня с гардеробна, втора спалня, баня с душ кабина и тоалетна, килер и две тераси;
ЗАСТРОЕНА ПЛОЩ: 93 кв. м;
ЕТАЖ: 2-ри от 5;
АСАНСЬОР: да;
ОТОПЛЕНИЕ: газ;
ИЗЛОЖЕНИЕ: Изток/Юг;
СТРОИТЕЛСТВО: ново;
ИЗОЛАЦИЯ: да;
РЕФ.НОМЕР: 25695;
ПРЕДИМСТВА: основно ремонтиран апартамент в нова сграда в непосредствена близост до: хранителен магазин, главен път, училище и детска градина, спирки на градски транспорт и зони за отдих и спорт. Към жилището има и мазе.

При проявен интерес към тази оферта или ако желаете БЕЗПЛАТНА консултация, може да се свържете с нас на посочения телефон."
1998m²,"кв. Карпузица, София",True,"180,000",EUR,Обзаведен,1-ви,5,Електричество,,Тухла,,,,,,,,,,,"Агенция за недвижими имоти Калиста Естейт има огромното удоволствие да ви представи тристаен апартамент в кв. Карпузица.

С включен гараж!

ОБЗАВЕЖДАНЕ: напълно обзаведен;
РАЗПРЕДЕЛЕНИЕ: коридор, хол с кухненски бокс и трапезария, две спални, баня с тоалетна, втора тоалетна и две тераси;
ЗАСТРОЕНА ПЛОЩ: 110 кв. м;
ЕТАЖ: 1-ви от 5;
ОТОПЛЕНИЕ: електричество;
ИЗЛОЖЕНИЕ: Изток/Юг;
СТРОИТЕЛСТВО: тухла;
РЕФ.НОМЕР: 41461;
ПРЕДИМСТВА: топъл апартамент в непосредствена близост до: хранителен магазин, детска градина и спирки на градски транспорт. Жилището се предлага с гараж както и собственост на тераса разположена на покрива и половината от земята, върху която е изградена сградата.

При проявен интерес към тази оферта или ако желаете БЕЗПЛАТНА консултация, може да се свържете с нас на посочения телефон."
102m²,"кв. Карпузица, София",True,,,Обзаведен,6-ти,8,Локално отопление,,Тухла,,,,,,,,,,,"Апартамента е обзаведен с поръчкова кухня, гардероб и шкаф за котлето. Отоплението е на газ, изключително икономично ще предоставим сметки, предвид, че сме отглеждали малко дете в него. Не желаем брокери лично се насочваме към клиенти..."
105m²,"кв. Карпузица, София",True,"217,000",EUR,Обзаведен,Партер,3,Локално отопление,,Тухла,,,,,,,,,,,"БЕЗ КОМИСИОННА от Купувача!Предлагаме тристаен, югоизточен , на партер апартамент в нова сграда с ново обзавеждане, нови електроуреди в подножието на Витоша на ул. Стойно Бачийски, кв. Карпузица. Жилището е със собствен двор на две нива. Застроената площ е 105кв.м.Представлява просторна всекидневна с кухненски бокс, оборудван с всичко необходимо за едно домакинство, две спални, две бани. От всекидневната се излиза на двор 100кв.м. Сградата е газифицирана. На 5мин. пешеходно разстояние се намира спирка на градски транспорт. Има възможност за закупуване на гараж. Оказваме съдействие за подготовка на документи за кредитиране."
65m²,"кв. Карпузица, София",True,,,Обзаведен,3-ти,4,Локално отопление,,Тухла,,,,,,,,,,,"Луксозен, обзаведен по дизайнерски проект 2-стаен апартамент. Качествена сграда с акт  16/2014г. на ул.Сияйна, кв.Карпузица. Намира се югозападната част на София, между булевардите  Цар Борис III ,  Никола Петков  и квартал  Горна баня . Състои се от: входно антре, дневна с кухненски бокс, спалня, баня с тоалетна, тераса. Чудесна инвестиция! за контакти: 0888720101"
118m²,"кв. Карпузица, София",True,"249,000",EUR,Обзаведен,3-ти,5,Локално отопление,,Тухла,,,,,,,,,,,"Агенция за недвижими имоти Калиста Естейт има огромното удоволствие да ви представи тристаен апартамент в ж.к. Карпузица.

ОБЗАВЕЖДАНЕ: напълно обзаведен;
РАЗПРЕДЕЛЕНИЕ: входно антре, хол с кухненски бокс и трапезария, две спални, баня с вана, душ кабина и тоалетна, килер и голяма тераса;
ЗАСТРОЕНА ПЛОЩ: 104 кв. м;
ЕТАЖ: 2-ри от 5;
АСАНСЬОР: да;
ОТОПЛЕНИЕ: локално;
ИЗЛОЖЕНИЕ: Юг;
СТРОИТЕЛСТВО: ново;
ИЗОЛАЦИЯ: да;
РЕФ.НОМЕР: 40739;
ПРЕДИМСТВА: много уютен апартамент в непосредствена близост до: главен път, спирки на градски транспорт, зони за отдих и спорт и училище. Жилището се продава с обзавеждането и разполага с климатик и телевизор. Към цената на имота е включен и гараж 20кв.м. От терасата има красив изглед към Витоша планина!

При проявен интерес към тази оферта или ако желаете БЕЗПЛАТНА консултация, може да се свържете с нас на посочения телефон."
235m²,"кв. Карпузица, София",True,"310,000",EUR,Необзаведен,3-ти,4,Локално отопление,,Тухла,,,,,,,,,,,"ПРОСТОРЕН 5-СТАЕН апартамент, ново строителство до бул. Никола Петков и бул. Цар Борис III. Сградата е изградена от висококачествени материали, луксозни общи части. Апартаментът е на две нива. ЗП-200,1 кв.м. РАЗПРЕДЕЛЕНИЕ: На първо ниво-коридор, просторна дневна, отделна кухна с трапезария, две спални, баня с тоалетна, WC, три тераси. На второто ниво - всекидневна, спалня, голям дрешник, баня с тоалетна, панорамна тераса. ДОГРАМА: ПВЦ. ОТОПЛЕНИЕ: газ със собствена абонатна станция. ИЗЛОЖЕНИЕ: С/З. Апартаментът се продава с подземно двойно паркомясто и мазе. Жилището се предлага на шпакловка и замазка. Асансьор с топла връзка с гаражи. Районът е изключително тих и спокоен. На около се намират търговски обекти, детска площадка, аптека, медицински център. ЗА ПОВЕЧЕ ПОДРОБНОСТИ И ОГЛЕДИ: GSM: 0894 591 330, Оферта 9239"
84m²,"кв. Карпузица, София",True,,,Необзаведен,3-ти,5,Локално отопление,,Тухла,,,,,,,,,,,"Комплекс с просторни и слънчеви апартаменти с благоприятно изложение и панорамен изглед към планина Витоша от всички етажи на сградата. В строителството са вложени висококачествени материали, в съответствие с всички съвременни изисквания: Тухли Winerberger;Топлоизолация 10см.;Алуминева дограма (шесткамерна) с термомост, стъклопакет с нискоемисионно стъкло и газ аргон;Вградени структури за тоалетни и мивки; Окачена фасада в стълбищните клетки;Луксозно изпълнени общи части; Луксозни блиндирани входни врати. Комплексът разполага с басейн., SPA и фитнес център, детска площадка, както и фитнес на открито. Обектът е под постоянно видео наблюдение и осигурява регламентиран достъп за външни лица.
Местността е известна с благоприятния си климат, благодарение на въздушното течение идващо от Владайското дефиле, което допринася района да се смята за едно от местата с най-чист въздух в столицата. 
Кварталът има добре организирана транспортна мрежа, която включва и метростанция от новия лъч на софийското метро.
В близост до комплекса се намират 53 ОУ „Николай Хрелков”, Нов български универитет, Национален учебен комплекс по култура – Италиански лицей, Частна профилирана езикова гимназия „д-р Мария Монтесори”, както и няколко детски градини. За контакти:  0888720101

"
