Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
148m²,"кв. Обеля, София",False,"199,000",EUR,Обзаведен,2-ри,2,Без отопление,,Тухла,,,,,,,,,,,"- Просторно имнаго светло четиристаино жилище в тухлена къща от деветдесетте години. На пешеходно разстояние до учебни заведения, детска градина, малки и големи търговски обекти , множество комуникации и удобства.- Разположен на втори жилищен етаж , в район с нискоетажно строителство. Състои се от широко входно антре, обширна дневна с трапезария и кухненски тракт с излаз на разкошна тераса, баня с душкабина и джакузи, самостоятелна тоалетна, три просторни спални помещения. Прилежащо мазе от 68 кв.м. Скоро е правен основен и съвременен ремонт на цялата къща, като е подменена ВиК и електро инсталацията. Напълно ремонтиран покрив с качествени материали. Санирана. Отопление склиматик или котелно на дърва / пелети /. Висококачествена ПВЦ дограма, имитация на дърво. Напълно обзаведена. В цената е включено и дворно място от 415 кв.м. Този имот трябва да се види.- За повече информация, уговорки относно огледи, както и професионално съдействие за кредитиране от лицензирания ни финансов консултант, на тел: 0877 882 889 "
89m²,"кв. Обеля, София",True,"88,000",EUR,Необзаведен,1-ви,4,Локално отопление,В строеж,Тухла,,,,,,,,,,,"Place2live предлага на вашето внимание 2-стаен апартамент 89 кв.м. застроена площ в новострояща се сграда от висок клас в затворен комплекс в кв.Обеля. Жилището се намира на партерен етаж със западно изложение и собствен двор. Сградата е от затворен тип с гаражи и паркоместа, разполага със собствен озеленен двор с контролиран достъп и видеонаблюдение. Акт 14 края на месец април. В сградата има свободни двустайни, тристайни апартаменти и подземни гаражи.
Place2live предлага професионално съдействие при: 1280701
- Съдействие за одобрение на жилищен и потребителски кредит; 
- Всички видове застраховки; 
- Юридически и счетоводни услуги; 
- Строително - ремонтни дейности до ключ; 
- Обзавеждане.
"
65m²,"кв. Обеля, София",True,"74,750",EUR,Необзаведен,5-ти,6,Електричество,След Акт 14,Тухла,,,,,,,,,,,"Агенция за недвижими имоти Премиум Пропърти Пловдив има удоволствието да Ви предложи двустаен апартамент в район Обеля, София.

Сградата е с АКТ 14.
Разпределение: антре, дневна с кухненски бокс и трапезария, спаля, баня и тоалетна, тераса
Локация: Намира се в близост до Сатиричен театър „Алеко Константинов“, 7. СУ „Свети Седмочисленици“, храм „Св. Седмочисленици“, множество ресторанти, барове и много други.

За повече информация и оглед се свържете с нас!

Покупката на жилище е изключително важен момент от живота на всеки човек и за това искаме да предложим най- доброто.
За да се отличим от всички останали на пазара, ние се стремим да предложим най-добрата услуга, свързана с недвижимото имущество.
Точно заради това ние предлагаме допълнителен набор от услуги, за да сме конкурентно способни и да можем да предложим всичко за вашия недвижим имот.
Ето и услугите:

Търсене на имот по зададени критерии.
Огледи на имоти с наш брокер.
Продажби на готови или новостроящи се имоти.
Дългосрочни и кратокосрочни наеми.
Оценки и консултации.
Юридически услуги.
Архитектурни проекти.
Интериорни проекти и решения.
Мениджмънт на строителни обекти.
Строителство, ремонти и обзавеждане.
Управление и стопанисване на имоти
Съдействие за кредити и ипотеки.
Агенцията работи и през почивните дни.

 Номер на обявата: 40138"
60m²,"кв. Обеля, София",True,"69,000",EUR,Необзаведен,2-ри,6,Електричество,След Акт 14,Тухла,,,,,,,,,,,"Агенция за недвижими имоти Премиум Пропърти Пловдив има удоволствието да Ви предложи двустаен апартамент в район Обеля, София.

Сградата е с АКТ 14.
Разпределение: антре, дневна с кухненски бокс и трапезария, спаля, баня и тоалетна, тераса
Локация: Намира се в близост до Сатиричен театър „Алеко Константинов“, 7. СУ „Свети Седмочисленици“, храм „Св. Седмочисленици“, множество ресторанти, барове и много други.

За повече информация и оглед се свържете с нас!

Покупката на жилище е изключително важен момент от живота на всеки човек и за това искаме да предложим най- доброто.
За да се отличим от всички останали на пазара, ние се стремим да предложим най-добрата услуга, свързана с недвижимото имущество.
Точно заради това ние предлагаме допълнителен набор от услуги, за да сме конкурентно способни и да можем да предложим всичко за вашия недвижим имот.
Ето и услугите:

Търсене на имот по зададени критерии.
Огледи на имоти с наш брокер.
Продажби на готови или новостроящи се имоти.
Дългосрочни и кратокосрочни наеми.
Оценки и консултации.
Юридически услуги.
Архитектурни проекти.
Интериорни проекти и решения.
Мениджмънт на строителни обекти.
Строителство, ремонти и обзавеждане.
Управление и стопанисване на имоти
Съдействие за кредити и ипотеки.
Агенцията работи и през почивните дни.
 Номер на обявата: 40138"
105m²,"кв. Обеля, София",True,"120,750",EUR,Необзаведен,4-ти,6,Електричество,След Акт 14,Тухла,,,,,,,,,,,"Агенция за недвижими имоти Премиум Пропърти Пловдив има удоволствието да Ви предложи тристаен апартамент в район Обеля, София.

Сградата е с АКТ 14.
Разпределение: антре, дневна с кухненски бокс и трапезария, две спални, баня и тоалетна, тоалетна, склад и тераса
Локация: Намира се в близост до Сатиричен театър „Алеко Константинов“, 7. СУ „Свети Седмочисленици“, храм „Св. Седмочисленици“, множество ресторанти, барове и много други.

За повече информация и оглед се свържете с нас!

Покупката на жилище е изключително важен момент от живота на всеки човек и за това искаме да предложим най- доброто.
За да се отличим от всички останали на пазара, ние се стремим да предложим най-добрата услуга, свързана с недвижимото имущество.
Точно заради това ние предлагаме допълнителен набор от услуги, за да сме конкурентно способни и да можем да предложим всичко за вашия недвижим имот.
Ето и услугите:

Търсене на имот по зададени критерии.
Огледи на имоти с наш брокер.
Продажби на готови или новостроящи се имоти.
Дългосрочни и кратокосрочни наеми.
Оценки и консултации.
Юридически услуги.
Архитектурни проекти.
Интериорни проекти и решения.
Мениджмънт на строителни обекти.
Строителство, ремонти и обзавеждане.
Управление и стопанисване на имоти
Съдействие за кредити и ипотеки.
Агенцията работи и през почивните дни.

Номер на обявата: 40138"
94m²,"кв. Обеля, София",True,"108,100",EUR,Необзаведен,3-ти,6,Електричество,След Акт 14,Тухла,,,,,,,,,,,"Агенция за недвижими имоти Премиум Пропърти Пловдив има удоволствието да Ви предложи тристаен апартамент в район Обеля, София.

Сградата е с АКТ 14.
Разпределение: антре, дневна с кухненски бокс и трапезария, две спални, баня и тоалетна, тоалетна, склад и тераса
Локация: Намира се в близост до Сатиричен театър „Алеко Константинов“, 7. СУ „Свети Седмочисленици“, храм „Св. Седмочисленици“, множество ресторанти, барове и много други.

За повече информация и оглед се свържете с нас!

Покупката на жилище е изключително важен момент от живота на всеки човек и за това искаме да предложим най- доброто.
За да се отличим от всички останали на пазара, ние се стремим да предложим най-добрата услуга, свързана с недвижимото имущество.
Точно заради това ние предлагаме допълнителен набор от услуги, за да сме конкурентно способни и да можем да предложим всичко за вашия недвижим имот.
Ето и услугите:

Търсене на имот по зададени критерии.
Огледи на имоти с наш брокер.
Продажби на готови или новостроящи се имоти.
Дългосрочни и кратокосрочни наеми.
Оценки и консултации.
Юридически услуги.
Архитектурни проекти.
Интериорни проекти и решения.
Мениджмънт на строителни обекти.
Строителство, ремонти и обзавеждане.
Управление и стопанисване на имоти
Съдействие за кредити и ипотеки.
Агенцията работи и през почивните дни.

Номер на обявата: 40138"
135m²,"кв. Обеля, София",True,"155,250",EUR,Необзаведен,2-ри,6,Електричество,След Акт 14,Тухла,,,,,,,,,,,"Агенция за недвижими имоти Премиум Пропърти Пловдив има удоволствието да Ви предложи тристаен апартамент в район Обеля, София.

Сградата е с АКТ 14.
Разпределение: антре, дневна с кухненски бокс и трапезария, две спални, баня и тоалетна, тоалетна, склад и тераса
Локация: Намира се в близост до Сатиричен театър „Алеко Константинов“, 7. СУ „Свети Седмочисленици“, храм „Св. Седмочисленици“, множество ресторанти, барове и много други.

За повече информация и оглед се свържете с нас!

Покупката на жилище е изключително важен момент от живота на всеки човек и за това искаме да предложим най- доброто.
За да се отличим от всички останали на пазара, ние се стремим да предложим най-добрата услуга, свързана с недвижимото имущество.
Точно заради това ние предлагаме допълнителен набор от услуги, за да сме конкурентно способни и да можем да предложим всичко за вашия недвижим имот.
Ето и услугите:

Търсене на имот по зададени критерии.
Огледи на имоти с наш брокер.
Продажби на готови или новостроящи се имоти.
Дългосрочни и кратокосрочни наеми.
Оценки и консултации.
Юридически услуги.
Архитектурни проекти.
Интериорни проекти и решения.
Мениджмънт на строителни обекти.
Строителство, ремонти и обзавеждане.
Управление и стопанисване на имоти
Съдействие за кредити и ипотеки.
Агенцията работи и през почивните дни.

Номер на обявата: 40138"
55m²,"кв. Обеля, София",False,"70,000",EUR,,1-ви,6,,,Тухла,,,,,,,,,,,"Оферта: ***14685*** КОРТА ИМОТИ предлага нов, светъл и просторен двустаен апартамент с възможност за използване като магазин в най-хубавата част на кв. Обеля. Имота се намира на изключително комуникативно място в близост до спирки на градски транспорт, магазини, аптеки, училища, детски градини и др.
 
***РАЗПРЕДЕЛЕНИЕ*** 
 
Състои се от антре, дневна с трапезария и кухненски бокс с френски прозорци, спалня и баня с тоалетна. 
 
 ***АКЦЕНТИ***
 
·        Ремонтиран;
 
·        Поддържани общи части;
 
***ДОПЪЛНИТЕЛНА ИНФОРМАЦИЯ***
 
- Тухла;
 
- Комуникативно място.
 
За нови предложения и подобни оферти, посетете нашия сайт www.cortaimoti.com или се обадете на *** Тел. 0887 000 452 ***
 
Очакваме Ви на посочения телефон, за да Ви дадем подробна информация относно предлагания имот. Ние сме реномирана компания, което ни задължава да Ви предоставим допълнителни услуги и следпродажбено обслужване. Професионалистите от КОРТА ИМОТИ ще бъдат с Вас през целия процес по покупко-продажба на имота. Допълнитетелните услуги, които предлага екипът ни включва проучване и предлагане на най-добрите оферти на банкови институции за получаване на одобрение за Ипотечен и/или Потребителски кредит, юридически и нотариални услуги, застраховки и др. Ние се стремим да влагаме качество и индивидуален подход във всичко, което правим и да предлагаме на нашите клиенти само най-доброто качество и обслужване.
"
46m²,"кв. Обеля, София",True,"67,000",EUR,Обзаведен,5-ти,8,ТЕЦ,,Панел,,,,,,,,,,,"Ние от Хевън Хоумс Ви представяме едностаен апартамент на повече от прекрасна локация в жк Обеля. Състоящ се от: входно антре, кухненски бокс и трепезария, стая, баня с тоалетна. РЗП: 46 кв.м. Отоплението е на ТЕЦ. Изложение: изток-юг. Ако имотът представлява интерес за Вас, моля свържете се с нас на +359 895 307 021 и посочете референтен номер:39326."
105m²,"кв. Обеля, София",False,"105,000",EUR,,1-ви,4,Прокарва се,,Тухла,,,,,,,,,,,"Без комисиона за купувача. Тристаен апартамент със застроена площ от 85 кв.м. Състои се от: дневна с кухненски бокс, две спални, тераса, две бани и склад. Към апартамента има и двор от 59.53 кв.м., включен в цената.
 Обади се сега и цитирай този код 570182"
105m²,"кв. Обеля, София",False,"100,500",EUR,,1-ви,4,Прокарва се,,Тухла,,,,,,,,,,,"Без комисиона за купувача. Тристаен апартамент, състоящ се от: дневна с кухненски бокс, две спални, две бани и тераса. Бонус двор с площ от 60 кв.м., включен в цената.
 Обади се сега и цитирай този код 570186"
155m²,"кв. Обеля, София",False,"146,850",EUR,,2-ри,4,Прокарва се,,Тухла,,,,,,,,,,,"Без комисиона за купувача. Многостаен апартамент, състоящ се от: дневна с кухненски бокс, три спални, две бани, три тераси и склад.
 Обади се сега и цитирай този код 570192"
70m²,"кв. Обеля, София",False,"66,900",EUR,,2-ри,4,Прокарва се,,Тухла,,,,,,,,,,,"Без комисиона за купувача. Двустаен апартамент, състоящ се от: дневна с кухненски бокс, спалня, баня с тоалетна и тераса.
 Обади се сега и цитирай този код 570195"
115m²,"кв. Обеля, София",False,"109,350",EUR,,Партер,4,Прокарва се,,Тухла,,,,,,,,,,,"Без комисиона за купувача. Тристаен апартамент, състоящ се от: дневна с кухненски бокс, две спални, две тераси, две бани и склад.
 Обади се сега и цитирай този код 570204"
155m²,"кв. Обеля, София",False,"131,400",EUR,,3-ти,4,Прокарва се,,Тухла,,,,,,,,,,,"Без комисиона за купувача. Многостаен апартамент, състоящ се от: дневна с кухненски бокс, три спални, две бани, три тераси и склад. Изложението е южно.
 Обади се сега и цитирай този код 570206"
70m²,"кв. Обеля, София",False,"59,950",EUR,,3-ти,4,Прокарва се,,Тухла,,,,,,,,,,,"Без комисиона за купувача. Двустаен апартамент, състоящ се от: дневна с кухненски бокс, спалня, баня с тоалетна и тераса.
 Обади се сега и цитирай този код 570211"
71m²,"кв. Обеля, София",False,"59,850",EUR,,3-ти,4,Прокарва се,,Тухла,,,,,,,,,,,"Без комисиона за купувача. Двустаен апартамент, състоящ се от: дневна с кухненски бокс, спалня, баня с тоалетна и тераса.
 Обади се сега и цитирай този код 570214"
157m²,"кв. Обеля, София",False,"149,400",EUR,,1-ви,4,Прокарва се,,Тухла,,,,,,,,,,,"Без комисиона за купувача. Многостаен апартамент, състоящ се от: дневна с кухненски бокс, три спални, две бани, две тераси и склад. Към апартамента има и двор от 232 кв.м., включен в цената.
 Обади се сега и цитирай този код 570056"
141m²,"кв. Обеля, София",False,"105,000",EUR,,Партер,4,Прокарва се,,Тухла,,,,,,,,,,,"Без комисиона за купувача. Тристаен апартамент, състоящ се от: дневна с кухненски бокс, две спални, две бани и тераса.
 Обади се сега и цитирай този код 570183"
71m²,"кв. Обеля, София",False,"67,000",EUR,,2-ри,4,Прокарва се,,Тухла,,,,,,,,,,,"Без комисиона за купувача. Двустаен апартамент, състоящ се от: дневна с кухненски бокс, спалня, баня с тоалетна и тераса.
 Обади се сега и цитирай този код 570202"
71m²,"кв. Обеля, София",False,"59,950",EUR,,3-ти,4,Прокарва се,,Тухла,,,,,,,,,,,"Без комисиона за купувача. Двустаен апартамент, състоящ се от: дневна с кухненски бокс, спалня, баня с тоалетна и тераса.
 Обади се сега и цитирай този код 570207"
115m²,"кв. Обеля, София",False,"97,850",EUR,,3-ти,4,Прокарва се,,Тухла,,,,,,,,,,,"Без комисиона за купувача. Тристаен апартамент, състоящ се от: дневна с кухненски бокс, две спални, две тераси, две бани и склад.
 Обади се сега и цитирай този код 570208"
155m²,"кв. Обеля, София",False,"131,400",EUR,,3-ти,4,Прокарва се,,Тухла,,,,,,,,,,,"Без комисиона за купувача. Многостаен апартамент, състоящ се от: дневна с кухненски бокс, три спални, две бани, три тераси и склад.
 Обади се сега и цитирай този код 570210"
115m²,"кв. Обеля, София",False,"97,850",EUR,,3-ти,4,Прокарва се,,Тухла,,,,,,,,,,,"Без комисиона за купувача. Тристаен апартамент, състоящ се от: дневна с кухненски бокс, две спални, две тераси, две бани и склад.
 Обади се сега и цитирай този код 570212"
157m²,"кв. Обеля, София",False,"149,400",EUR,,1-ви,4,Прокарва се,,Тухла,,,,,,,,,,,"Без комисиона за купувача. Многостаен апартамент, състоящ се от: дневна с кухненски бокс, три спални, две бани, две тераси, кабинет и склад. Към апартамента има допълнително двор от 229 кв.м., включен в цената.
 Обади се сега и цитирай този код 570185"
115m²,"кв. Обеля, София",False,"109,350",EUR,,2-ри,4,Прокарва се,,Тухла,,,,,,,,,,,"Без комисиона за купувача. Тристаен апартамент, състоящ се от: дневна с кухненски бокс, две спални, две тераси, две бани и склад.
 Обади се сега и цитирай този код 570194"
155m²,"кв. Обеля, София",False,"146,850",EUR,,2-ри,4,Прокарва се,,Тухла,,,,,,,,,,,"Без комисиона за купувача. Многостаен апартамент, състоящ се от: дневна с кухненски бокс, три спални, две бани, три тераси и склад.
 Обади се сега и цитирай този код 570199"
70m²,"кв. Обеля, София",False,"66,900",EUR,,2-ри,4,Прокарва се,,Тухла,,,,,,,,,,,"Без комисиона за купувача. Двустаен апартамент, състоящ се от: дневна с кухненски бокс, спалня, баня с тоалетна и тераса.
 Обади се сега и цитирай този код 570205"
378m²,"кв. Обеля, София",False,"220,000",EUR,,4-ти,4,Прокарва се,,Тухла,,,,,,,,,,,"Без комисиона за купувача. Многостаен апартамент състоящ се от дневна с кухненски бокс, четири спални, три бани и голяма тераса с площ от 207кв.м.
 Обади се сега и цитирай този код 571001"
142m²,"кв. Обеля, София",False,"105,000",EUR,,1-ви,4,Прокарва се,,Тухла,,,,,,,,,,,"Без комисиона за купувача. Тристаен апартамент, състоящ се от: дневна с кухненски бокс, две спални, две бани и тераса.
 Обади се сега и цитирай този код 570187"
71m²,"кв. Обеля, София",False,"67,000",EUR,,2-ри,4,Прокарва се,,Тухла,,,,,,,,,,,"Без комисиона за купувача. Двустаен апартамент, състоящ се от: дневна с кухненски бокс, спалня, баня с тоалетна и тераса.
 Обади се сега и цитирай този код 570193"
70m²,"кв. Обеля, София",False,"59,850",EUR,,3-ти,4,Прокарва се,,Тухла,,,,,,,,,,,"Без комисиона за купувача. Двустаен апартамент, състоящ се от: дневна с кухненски бокс, спалня, баня с тоалетна и тераса.
 Обади се сега и цитирай този код 570209"
65m²,"кв. Обеля, София",True,"71,500",EUR,Необзаведен,4-ти,,Локално отопление,В строеж,Тухла,,,,,,,,,,,"Реф. номер: 3544
Аякс Имоти има удоволствието да Ви представи двустаен апартамент в кв. Обеля. Жилището се състои от антре, дневна с кухня и трапезария, спалня, баня с тоалетна и тераса. За повече информация и оглед се свържете с нас!

Имотът може да бъде резервиран и свален от продажба със заплащане на депозит, след което се прекратява провеждането на огледи с други купувачи и започва подготовка на документите за сключване на предварителен и окончателен договор.
Допълнителни услуги и следпродажбено обслужване
Ние сме реномирана компания и ще бъдем с вас не само по време на покупката, но и след това, осигурявайки ви допълнителни услуги по ваше изискване с цел пълноценно и безпроблемно ползване на новозакупения имот. Услугите, които можем да предложим, включват получаване на одобрение за ипотечен кредит, застраховка на движимо и недвижимо имущество, строителни и ремонтни дейности, обзавеждане, юридически и счетоводни услуги и др."
