Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
222m²,"жк. Изток, София",False,"650,000",EUR,Обзаведен,16-ти,20,ТЕЦ,,Тухла,,,,,,,,,,,"Сграда ДИАМАНДАгенция АДАМАНТ има удоволствието да ви представи Прекрасен Панорамен 4 СТАЕН Апартамент в сърцето на най - престижния квартал в столицата - Изток, със спираща дъха гледка към Ловен парк, града и Витоша планина!-Сградата е наградена за най - луксозна жилищна сграда в София, както и изградена с най - висок клас енергийно ефективни материали, с идеята, че съвременния дом Може и трябва да диша!А съседството с Ловен парк я превръща в своеобразен оазис в сърцето на столицата!-Апартаментът се състои от коридор с гардеробна ниша, огромен светъл хол с кухненски бокс и трапезария - 60кв.М., три самостоятелни спални от по 21кв.М, 16кв.М и 12кв.м, три санитарни възела и прекрасна панорамна тераса.-Изложение: Юг/Запад.Състояние: Изцяло и Луксозно обзаведен! Готов за нанасяне!Сграда Диаманд разполага с 24 часова охрана, видеонаблюдение, озеленен двор, луксозни общи части, три асансьора и паркинг.Вашият Нов Дом в Най - луксозната сграда в България ви очаква!-За повече информация и записване за огледи: 0883221212 - Александра Иванова; 0894611191 - Адамант Имоти.  "
165m²,"жк. Изток, София",False,"343,000",EUR,Необзаведен,5-ти,6,ТЕЦ,,Тухла,,,,,,,,,,,"First Estates предлага за продажба тристаен мезонет на пети и шести етаж в нова бутикова сграда в кв. Изток.
Местоположението е на тиха улица с малки кооперации и дворове със зеленина.
Съвсем наблизо е метростанция Жолио - Кюри, бул. ''Драган Цанков', парк - хотел Москва.
В района можете да разчитате на различни магазини, ресторанти, детски градини, училища, услуги.
Апартаментът е с чиста жилищна площ от 127 кв.м.
На първото ниво се намира дневният тракт - голяма дневна, в която се помещава кухненският бокс, трапезарията и мястото за събиране на семейството.
Помещението е обляно от светлина заради френските прозорци и изцяло южното изложение. Терасата по протежение на цялото първо ниво улеснява достъпа на свеж въздух към дневната зона. До дневната има голяма баня.
Стълбата за второто равнище на апартамента се намира встрани до входната врата и не нарушава целостта на първото. Тя отвежда до горната част на жилището, където има баня с мокро помещение и две светли спални. Едната е с прилежащ балкон.
Отоплението е от ТЕЦ. Във всяка стая има изводи за климатици.
Към апартамента има складово помещение - мазе.
Към жилището може да се закупи и двойно паркомясто в подземния гараж на сградата за 20000 евро.
Цялата сграда е завършена с най-висок клас материали.
В подовата настилка е заложена надеждна шумоизолация. Дограмата е 6-камерен профил Рехау с бяло К стъкло 4 сезона.
За подовата настилка в общите части е използван камък - травертин.
Асансьорът е най-високият клас технология и изпълнение на ф-ма „Изамет“.
Парапетите на балконите са от ковано желязо и придават финес и характер на фасадата.
Подземен паркинг осигурява паркоместа за автомобилите.
Малък двор с цветни лехи украсява сградата.
Съвсем скоро се очаква издаването на разрашение за експлоатация.
За оглед и повече информация се обадете на 0 700 15 15 1 или 02 980 20 68 и цитирайте номера на обавата: 10578.
"
165m²,"жк. Изток, София",False,"500,000",EUR,Обзаведен,11-ти,17,ТЕЦ,,ЕПК,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава панорамен четиристаен апартамент в кв.Изток. Имотът е с югозападно изложение и разполага с прекрасни панорамни гледки.Продава се изцяло обзаведен и оборудван с всичко необходимо. Апартаментът е с чиста жилищна площ от 165 кв.м.,Състои се от входно антре, дневна, отделна трапезария, кухня, две спални, кабинет (възможност да се обособи на допълнителна спалня), баня с тоалетна, отделно тоалетна и тераса.
Възможност за паркомясто. Оферта в агенцията  8146. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 02/421 96 35 ; 0886 13 22 91 Димитър Георгиев
"
165m²,"жк. Изток, София",True,"340,000",EUR,Полуобзаведен,7-ми,7,ТЕЦ,,Тухла,,,,,,,,,,,"""АСГАРД ПРОПЪРТИС"" продава панорамен, луксозно завършен апартамент в модерна сграда с разрешение за ползване от 2017 г. Жилището е с чиста площ 137 кв.м. и се състои от просторна дневна с излаз на панорамна тераса, самостоятелен кухненски бокс, три спални и  два санитарни възела. Довършителни работи на високо ниво, жилището заема целия етаж на сградата, като асансьорът спира директно в апартамента. Има възможност за покупка на подземен гараж. Обявената цена включва частично ДДС. За контакти: 0899/032-036, 02/465-19-50."
126m²,"жк. Изток, София",False,"310,000",EUR,,5-ти,6,ТЕЦ,,Тухла,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ има удоволствието да Ви представи един прекрасен четиристаен апартамент в тухлена сграда от 1966г. в кв.Изток.

Жилището е с площ от 125 кв.м и се състои от голяма дневна с трапезария, малка преходна кухня, две спални, отделни баня и тоалетна, два големи панорамни балкона. Във всяко помещение има вградени дълбоки гардероби с голяма вместимост. 
Жилището разполага с таван около 12кв.м.с прозорци и с голямо мазе.Добри общи части.Контролиран достъп. 

***

За контакти, повече информация и огледи, водещ брокер: Евелина Траянска 0884908077

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ!

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!

ПЕРФЕКТНО изработени и приключени документално имотни сделки!

Разполагаме с изпълнител за ДОВЪРШИТЕЛНИТЕ РАБОТИ и ремонт на закупеното от Вас жилище."
126m²,"жк. Изток, София",False,"310,000",EUR,,5-ти,6,ТЕЦ,,Тухла,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ има удоволствието да Ви представи един прекрасен четиристаен апартамент в тухлена сграда от 1966г. в кв.Изток.

Жилището е със площ от 125 кв.м и се състои голяма дневна с трапезария, малка преходна кухня, две спални, отделни баня и тоалетна, два големи панорамни балкона. Във всяко помещение има вградени дълбоки гардероби с голяма вместимост. 
Жилището разполага с таван около 12кв.м.с прозорци и с голямо мазе.Добри общи части.Контролиран достъп. 

***

За контакти, повече информация и огледи, водещ брокер: Евелина Траянска 0884908077

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ!

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!

ПЕРФЕКТНО изработени и приключени документално имотни сделки!

Разполагаме с изпълнител за ДОВЪРШИТЕЛНИТЕ РАБОТИ и ремонт на закупеното от Вас жилище."
126m²,"жк. Изток, София",False,"310,000",EUR,,5-ти,6,ТЕЦ,,Тухла,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ има удоволствието да Ви представи един прекрасен четиристаен апартамент в тухлена сграда от 1966г. в кв.Изток.

Жилището е с площ от 125 кв.м и се състои от голяма дневна с трапезария, малка преходна кухня, две спални, отделни баня и тоалетна, два големи панорамни балкона. Във всяко помещение има вградени дълбоки гардероби с голяма вместимост. 
Жилището разполага с таван около 12кв.м.с прозорци и с голямо мазе.Добри общи части.Контролиран достъп. 

***

За контакти, повече информация и огледи, водещ брокер: Евелина Траянска 0884908077

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ!

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!

ПЕРФЕКТНО изработени и приключени документално имотни сделки!

Разполагаме с изпълнител за ДОВЪРШИТЕЛНИТЕ РАБОТИ и ремонт на закупеното от Вас жилище."
110m²,"жк. Изток, София",False,"315,000",EUR,Обзаведен,12-ти,16,ТЕЦ,,ЕПК,,,,,,,,,,,"СТИЛЕН АПАРТАМЕНТ С ПРЕКРАСЕН ИЗГЛЕД И ОТЛИЧНО РАЗПРЕДЕЛЕНИЕ! кв. Изток, ул. А.П.Чехов , продажба на луксозен 3-стаен апартамент, напълно обзаведен, със застроена площ от 110м2, ет.12/от 16, отопление-ТЕЦ, 2 асансьора. Сградата е с контролиран достъп и видеонаблюдение. Жилището е изключително уютно, след ремонт и е със следното вътрешното разпределение: просторно антре с портманто, светла дневна с трапезария, кухня от естествено дърво с маркови ел.уреди, излаз на остъклен балкон, преход към родителска спалня с остъклен балкон, отделно 2-ра спалня, баня с тоалетна, тоалетна, мокро помещение с пералня и бойлер/при профилактика/. В хола има оформен работен кът с бюро. Навсякъде са направени скъпи довършителни работи, поставени врати от орех, настилката в стаите е дъбов трислоен паркет, а коридор-гранитогрес. Около блока има добри възможности за свободно паркиране/3 паркинга/. За допълнителна информация и огледи се обръщайте към Надя Антова-088/9999 413, 0888/788 420, Васил-0899/18 35 80, Елена-0898/ 60 55 33

За повече оферти посетете нашия сайт:www.nadilena.com"
165m²,"жк. Изток, София",False,"500,000",EUR,Обзаведен,11-ти,16,ТЕЦ,,Тухла,,,,,,,,,,,"Обзаведен апартамент в луксозна сграда на комуникативно място в престижен район. Жилището е разположено на 11 етаж и има разкошна гледка към сърцето на града. Има следното разпределение: входно антре, кухня, трапезария, 2 спални, кабинет, 2 тераси, баня с тоалетна и тоалетна за гости, дрешник. Към апартамента има паркомясто.
За повече инф и огледи Мариела Китанова 0888660255!
оферта номер 11198
"
165m²,"жк. Изток, София",False,"500,000",EUR,Обзаведен,11-ти,17,ТЕЦ,,ЕПК,,,,,,,,,,,"Разкошен апартамент на комуникативно място. Сградата е  луксозна с луксозни общи части и денонощна охрана. Жилището е с прекрасна панорамна гледка, изложение юг- север- запад и се предлага напълно обзаведено. Има следното разпределение: входно антре, кухня, трапезария, хол, 2 спални, кабинет, баня с тоалетна , тоалетна за гости, дрешник и тераса. Отоплението в сградата е с централен ТЕЦ. Паркомясто включено в цената.
За допълнителна информация и организиране на оглед: 0889099377
ОФЕРТА НОМЕР: 11035
 
"
