Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
122m²,"кв. Горна Баня, София",False,"203,200",EUR,Необзаведен,2-ри,5,Локално отопление,,Тухла,,,,,,,,,,,"Home Life Ви предлага за продажба тристаен апартамент на втори етаж с обща площ от 122 кв.м. сред паркова среда и чист въздух в новострояща се част от вече изграден комплекс.
Разположен в един от най- екологичните райони в гр. София, квартал Горна Баня.
БЕЗ КОМИСИОН ОТ КУПУВАЧА!
Eдинcтвeният пo poдa cи гpaдcĸи ĸoмплeĸc oт зaтвopeн тип, ĸoйтo paзпoлaгa cъc coбcтвeн CΠA цeнтъp c минepaлнa вoдa, в paйoн c нaй-чиcт въздyx, пpeдлaгaщ нe caмo ĸoмфopт и yют, нo и възмoжнocт зa пълнoцeнeн живoт cpeд пpиpoдaтa в нeпocpeдcтвeнa близocт дo yдoбcтвaтa нa гpaдa.
Съчетанието на многогодишни растителни видове в парковата среда, заедно с открит басейн, бар, ресторант, фитнес, тенис кортове и детски площатки, гарантират изключителни условия за живеене. Характеризира се с привлекателно местоположение и прекрасни гледки към Витоша. 
Качествено и модерно ново строителство в район с отлично развита инфраструктура, в близост до основни улици и булеварди с директен и бърз достъп до центъра на столицата. До спирки на градския транспорт, училища, детски градини и хипермаркети, здравни заведения.
Комплексът включва 5 нови сгради, като има достигнато различно ниво на строителен етап към момента, като три от тях са пред акт 14.
Сградите се изпълняват по всички стандарти за високо качество на материали и строителни технологии и отопление, предвидено на Газ. 
Апартамента е с функционално разпределение с правилни форми и усещане за светлина и простор посредством максимална височина на таваните и френски прозорци. Издава се на шпакловка и замазка, с луксозни блиндирани врати и висок клас дограма.
Срок на завършване март 2023г.
По желание на клиента жилището може да бъде изпълнено и предадено в напълно завършен до ключ вид при допълнително заплащане. 
Посочената цена е с вкл. ДДС.
Възможност за закупуване на подземен гараж на отделна цена.
Изложение: Изток.
Разпределение: Входно антре, дневна с трапезария и кухненски бокс, 2 спални, 2 бани с тоалетна, 1 тераса.
"
200m²,"кв. Горна Баня, София",False,"240,000",EUR,Необзаведен,5-ти,6,,,Тухла,,,,,,,,,,,"Home Life Ви предлага за продажба четиристаен апартамент на пети етаж с чудесни панорамни гледки към Витоша и града с обща площ от 200 кв.м. сред паркова среда, чист въздух и минерална вода в затворен комплекс с акт 16 от 2009г.
Разположен в един от най- екологичните райони в гр. София, квартал Горна Баня.
БЕЗ КОМИСИОН ОТ КУПУВАЧА!
Eдинcтвeният пo poдa cи гpaдcĸи ĸoмплeĸc oт зaтвopeн тип, ĸoйтo paзпoлaгa cъc coбcтвeн CΠA цeнтъp c минepaлнa вoдa, в paйoн c нaй-чиcт въздyx, пpeдлaгaщ нe caмo ĸoмфopт и yют, нo и възмoжнocт зa пълнoцeнeн живoт cpeд пpиpoдaтa в нeпocpeдcтвeнa близocт дo yдoбcтвaтa нa гpaдa.
Съчетанието на многогодишни растителни видове в парковата среда, заедно с открит басейн, бар, ресторант, фитнес, тенис кортове и детски площатки, гарантират изключителни условия за живеене. Характеризира се с привлекателно местоположение и прекрасни гледки към Витоша. 
Качествено и модерно ново строителство в район с отлично развита инфраструктура, в близост до основни улици и булеварди с директен и бърз достъп до центъра на столицата. До спирки на градския транспорт, училища, детски градини и хипермаркети, здравни заведения.
Сградите в комплекса са изпълнени по всички стандарти за високо качество на материали и строителни технологии и отопление на Газ. 
Апартамента е с функционално разпределение с правилни форми и усещане за светлина и простор с максимална височина на таваните. Подове с гранитогрес и ламиниран паркет. Баните са завършени с теракот и фаянс и монтирани санитария и батерии. Кухнята е завършена с вградени електроуреди, PVC
цветна дограма, MDF интериорни врати, масивна входна врата, отопление – индивидуално на газ с монтирано котле и алуминиеви радиатори, пълно окабеляване, СОТ, кабелна телевизия и Интернет.
Общите части са луксозно изпълнени. Предлагат се всички удобства, които се включват в комплекс от затворен тип, с охрана и портиери, както и видеонаблюдение.
Предвидена е такса за поддръжка и управление на комплекса,на стойност 144.00 лв на месец за за апартамента в продажба.
Апартамента се издава без наличното обзавеждане, но при интерес може да се включи на отделна цена.
Посочената цена е с вкл. ДДС.
Възможност за закупуване на подземен гараж на отделна цена.
Изложение: Панорамен
Разпределение: Входно антре, коридор, дневна с трапезария и кухненски бокс, 3 спални, 2 бани с тоалетна, мокро помещение и склад, 2 панорамни тераси.
"
106m²,"кв. Горна Баня, София",False,"163,635",EUR,Необзаведен,1-ви,5,Електричество,,Тухла,,,,,,,,,,,"Home Life Ви предлага за продажба двустаен апартамент на партерен етаж с обща площ от 106 кв.м. и собствена веранда от 17 кв.м., сред паркова среда и чист въздух в новострояща се част от вече изграден комплекс.
Разположен в един от най- екологичните райони в гр. София, квартал Горна Баня.
БЕЗ КОМИСИОН ОТ КУПУВАЧА!
Eдинcтвeният пo poдa cи гpaдcĸи ĸoмплeĸc oт зaтвopeн тип, ĸoйтo paзпoлaгa cъc coбcтвeн CΠA цeнтъp c минepaлнa вoдa, в paйoн c нaй-чиcт въздyx, пpeдлaгaщ нe caмo ĸoмфopт и yют, нo и възмoжнocт зa пълнoцeнeн живoт cpeд пpиpoдaтa в нeпocpeдcтвeнa близocт дo yдoбcтвaтa нa гpaдa.
Съчетанието на многогодишни растителни видове в парковата среда, заедно с открит басейн, бар, ресторант, фитнес, тенис кортове и детски площатки, гарантират изключителни условия за живеене. Характеризира се с привлекателно местоположение и прекрасни гледки към Витоша. 
Качествено и модерно ново строителство в район с отлично развита инфраструктура, в близост до основни улици и булеварди с директен и бърз достъп до центъра на столицата. До спирки на градския транспорт, училища, детски градини и хипермаркети, здравни заведения.
Комплексът включва 5 нови сгради, като има достигнато различно ниво на строителен етап към момента, като три от тях са пред акт 14.
Сградите се изпълняват по всички стандарти за високо качество на материали и строителни технологии и отопление, предвидено на Газ. 
Апартамента е с функционално разпределение с правилни форми и усещане за светлина и простор посредством максимална височина на таваните и френски прозорци. Издава се на шпакловка и замазка, с луксозни блиндирани врати и висок клас дограма.
Срок на завършване март 2023г.
По желание на клиента жилището може да бъде изпълнено и предадено в напълно завършен до ключ вид при допълнително заплащане. 
Посочената цена е с без вкл. ДДС.
Възможност за закупуване на подземен гараж на отделна цена.
Изложение: Юг / Изток.
Разпределение: Входно антре, дневна с трапезария и кухненски бокс, 1 спалня, 1 баня с тоалетна, 1 тераса - 17 кв.м. площ.
"
80m²,"кв. Горна Баня, София",False,"160,000",EUR,Необзаведен,2-ри,5,Прокарва се,,Тухла,,,,,,,,,,,"Тристаен апартамент състоящ се от дневна с кухненски бокс, две спални, баня, килер и тераса. Юг- запад. БЕЗ КОМИСИОННА.
 Обади се сега и цитирай този код 563368"
90m²,"кв. Горна Баня, София",False,"240,000",EUR,Обзаведен,3-ти,4,,,Тухла,,,,,,,,,,,"Оферта №: 1218
Агенция „Trust Broker Solutions” предлага на Вашето внимание ремонтиран и обзаведен тристаен апартамент в ж.к. ""Горна баня"". До метро.
РАЗПРЕДЕЛЕНИЕ:
Апартамента се състои от коридор, две стаи, хол с трапезария, баня с тоалетна, тоалетна, две тераси. Разполага с мазе и гараж.
ЛОКАЦИЯ:
Намира се в ж.к. ""Горна баня"" В Близост: Метростанция; Спирки на градски транспорт (автобус № 206); Магазини.; Детски градини и училища.
СЪСТОЯНИЕ:
Апартаментът е ремонтиран и обзаведен.
ПЛЮСОВЕ:
- До метростанция.
- Отлична комуникация.
- В близост множество магазини, детски градини и училища.
- Удобен градски транспорт.
- Няма тежести върху имота.
АКЦЕНТИ:
- Ремонтиран.
- Отлична локация (Метро).
- Отлично развит квартал.
- Слънчеви помещения.
ДОПЪЛНИТЕЛНА ИНФОРМАЦИЯ:
- Разрешение за ползване (Акт 16) от 2012 г.
- Вид строителство: Тухла.
- Етаж: 3 от 4.
- Площ: 90 м2
- Изложение: Юг - Изток
- Отопление: ГАЗ
Агенция „Trust Broker Solutions” предлага напълно безплатно кредитни консултации. Работим с всички банки в страната, на преференциални условия. Кредитният ни отдел е регистриран в БНБ като независим банков консултант по ипотечно кредитиране.
За още оферти посетете сайта ни: tbsestates.bg или се обадете на 0988830688.
"
88m²,"кв. Горна Баня, София",False,"145,000",EUR,Необзаведен,2-ри,5,Прокарва се,,Тухла,,,,,,,,,,,"Тристаен апартамент състоящ се от дневна с кухненски бокс, две спални, баня, килер и тераса. Юг- изток. БЕЗ КОМИСИОННА.
 Обади се сега и цитирай този код 563370"
81m²,"кв. Горна Баня, София",False,"198,000",EUR,Полуобзаведен,2-ри,4,Прокарва се,,Тухла,,,,,,,,,,,"Прекрасен апартамент с две спални в Горна баня.

Апартаментът разполага с две спални, хол с антре и мултифунционална кухня с всички електроуреди на Бош и АЕГ. Банята е широка и има мокро помещение за пералня и сушилня. Апартаментът се продава частично обзаведен.

Към имота има мазе и таван.
 Обади се сега и цитирай този код 564475"
59m²,"кв. Горна Баня, София",False,"100,000",EUR,Необзаведен,2-ри,5,Прокарва се,,Тухла,,,,,,,,,,,"Двустаен апартамент, състоящ се от дневна с кухненски бокс, спалня, баня а тоалента и малка тераса. БЕЗ КОМИСИОННА.
 Обади се сега и цитирай този код 563362"
76m²,"кв. Горна Баня, София",False,"145,000",EUR,Необзаведен,2-ри,5,Прокарва се,,Тухла,,,,,,,,,,,"Тристаен апартамент състоящ се от дневна с кухненски бокс, две спални, баня, килер и тераса. Юг- изток. БЕЗ КОМИСИОННА.
 Обади се сега и цитирай този код 563365"
103m²,"кв. Горна Баня, София",True,"144,200",EUR,Необзаведен,2-ри,4,Локално отопление,След Акт 14,Тухла,,,,,,,,,,,"К - КОНСУЛТ представя тристаен апартамент в новострояща се сграда, разположена в полите на Витоша планина,находяща се в кв.Горна баня на метри от множество спирки на градски транспорт, метростанция Горна баня, търговски обекти, детски градини, училища, парк и много други.
Сградата е бутикова, изгражда се с висококачествени и устойчиви на времето материали.
Състои се от едно подземно и четири надземни нива, с прекрасна гледка към Витоша планина.
АКТ16 се очаква края на лятото на 2022г.
Апартаментът се състои от: Входно антре, дневна с кухненски бокс, две спални, баня с тоалетна, втора тоалетна и тераса.
В сградата има още актуални апартаменти.
Имотът е изключително атрактивен, както за закупуването за собствено ползване, така и с цел инвестиция.
"
143m²,"кв. Горна Баня, София",False,"170,000",EUR,Необзаведен,5-ти,5,Прокарва се,,Тухла,,,,,,,,,,,"Двустаен апартамент, състоящ се от дневна с кухненски бокс, спалня, баня а тоалента и голяма панорамна тераса с площ от 76кв.м. БЕЗ КОМИСИОННА.
 Обади се сега и цитирай този код 563381"
65m²,"кв. Горна Баня, София",True,"145,000",EUR,Обзаведен,2-ри,5,Локално отопление,,Тухла,,,,,,,,,,,"К - КОНСУЛТ продава прекрасен тристаен апартамент на пешеходно разстояние от метростанция Горна баня и детска градина.
Апартаментът е с изцяло подменени Ел и ВиК инсталации.
Апартаментът е вътрешен, с качествена топлоизолация, поставена висок клас отоплителната система.
Жилището е с ниски режийни разходи.
Апартаментът е изцяло реконструиран, обзаведен с висококачествени електроуреди и мебели по поръчка.
Разпределението е следното: Антре, хол с кухненски бокс, родителска спалня, втора спалня, мокро помещение и баня с тоалетна. 
Към жилището има голямо мазе със стелажи, както и поддържано таванско помещение.
Апартаментът се продава във вида от снимките.
К - КОНСУЛТ съдейства при отпускането на всякакъв вид банково финансиране."
70m²,"кв. Горна Баня, София",True,"158,019",EUR,Необзаведен,2-ри,3,Локално отопление,,Тухла,,,,,,,,,,,"Place2live предлага на Вашето внимание, двустаен апартамент находящ се в триетажна луксозна жилищна сграда в кв.Горна баня. Намира се в непосредствена близост до южната дъга на Околовръстното шосе на София, спирка на автобус 260 и на 900 м. от метростанция Горна баня. Сградата разполага с осем апартамента и 14 самостоятелни подземни гаражи на цена от 28 200 евро с ДДС.
 Етап на строителство - Акт 15 (АКТ16 до 02.2023г).
Апартаментът, който Ви предлагаме е ситуиран на трети етаж с обща площ 70 кв.м. и чиста засторена площ от 57 кв.м, функционално разпределена във: входно антре, дневна с кухненски бокс и трапезария, спалня, баня с тоалетна и тераса. Изложението на имота е юг-запад. Към жилището има прилежащо мазе от 9кв.м. 
 
За повече информация и огледи, този номер ще Ви е необходим: 1683
 
PLACE2LIVE предлага професионално съдействие при :
 
 - Съдействие за одобрение на жилищен и потребителски кредит;
 - Всички видове застраховки;
 - Юридически и счетоводни услуги;
 - Строително - Ремонтни дейности до ключ;
 - Обзавеждане
"
