Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
60m²," Център, София",False,"199,000",EUR,Обзаведен,4-ти,6,ТЕЦ,,Тухла,,,,,,,,,,,"Tiara Estates ви предлага напълно обзаведен апартамент в идеален център със следните характеристики:
сградата е от 1934г.
влиза се в безистен, за да се стигне до входа
етаж трети/четвърти
с готов проект за слагането на асансьор между стълбището
разпределние: антре, просторен хол (>30м2) с кухненски бокс, спалня, баня с тоалетна
холът гледа към ул. Г.С.Раковски, докато спалнята към тих заден двор
разполага с мазе + таван
висок клас кухненски уреди и мебели
отопление ТЕЦ и климатик в хола
5 камерна дограма
последен освежителен ремонт преди 4 год. (в добро моментно състояние)
балконът от спалнята е усвоен
За повече информация: 0885260107 Борис Георгиев
"
87m²," Център, София",False,"172,840",EUR,,1-ви,9,,,Тухла,,,,,,,,,,,"Представяме Ви 3 стаен апартамент, находящ се в нова сграда, на минути от метростанция Опълченска. Апартаментът се състои от коридор, баня с тоалетна, хол с кухненски бокс, с преход към едната спалня, втора спалня със собствена баня с тоалетна. Жилището се намира на 1 етаж над магазини Предава се на шпакловка и замазка, като има опция за довършване до ключ. Акт 16 - до края на годината.
За контакт: Емилия Христова - 0884188279
"
43m²," Център, София",False,"97,750",EUR,Обзаведен,2-ри,3,Локално отопление,,Тухла,,,,,,,,,,,"Имоти Комфорт, Ви предлага апартамент в сърцето на София. Имота е със следното  разпределение вход, кухня-трапезария,спалня,тоалет,терса.  Към него има идеални части от земята.ОТЛИЧНА ИНВЕСТИЦИЯ.
"
155m²," Център, София",False,"542,000",EUR,Обзаведен,4-ти,5,Електричество,,Тухла,,,,,,,,,,,"Имоти Сердика има удоволствието да Ви представи за продажба многостаен апартамент в ж.к. Център. За оглед на това и други атрактивни предложения, не се колебайте да ни потърсите на посочения телефон за връзка. В случай, че не ви отговорим на момента, ще ви върнем обаждане при първа възможност. Предлагаме безплатно съдействие за отпускане на ипотечни и потребителски кредити. Преференциални условия! Още актуални оферти за наеми и продажби може да намерите в нашия сайт: www.serdika1.bg. ID:7904  
"
83m²," Център, София",False,"240,000",EUR,Полуобзаведен,5-ти,8,ТЕЦ,,Тухла,,,,,,,,,,,"Имоти Сердика 1 продава тристаен апартамент в град София, ж.к Център. Апартаментът е след основен ремонт, на 200 метра от пешеходната зона на бул, Витоша. Южно изложение. Множество магазини, заведения, държавни институции на 10 мин пеша. Трислоен стъклопакет, трислоен паркет, нова кухня с вградени уреди и остров за хранене, подменени всички инсталации. Апартаментът се намира в тиха и спокойна уличка с тераси към вътрешен двор отсреща. Към апартамента има и мазе от 6м2. За оглед на това и други атрактивни предложения, не се колебайте да ни потърсите на посочения телефон за връзка. В случай, че не ви отговорим на момента, ще ви върнем обаждане при първа възможност. Предлагаме безплатно съдействие за отпускане на ипотечни и потребителски кредити. Преференциални условия! Още актуални оферти за наеми и продажби може да намерите в нашия сайт: www.serdika1.bg. ID:9954
"
70m²," Център, София",False,"165,700",EUR,Необзаведен,2-ри,3,Електричество,,Тухла,,,,,,,,,,,"Номер в агенцията: 2667
Двустаен апартамент в центъра на София, на 5 мин. от паметника Левски.
Купувачът получава имот на китната улица Росица, 
тихо местенце в центъра на София, където да почива и събира енергия.

70.70 кв.м отлична инвестиция:
49.70 кв.м реално използваемата светла площ на имота: спалня, дневна, самостоятелна кухня, баня и тоалетна, тераса ;
идеални части от УПИ ,озеленен двор;
10 кв.м мазе;
11 кв.м таван. Има възможност за продажба отделно на таванското помещение за 15 000 евро, което би намалило общата цена.

Апартамента е класически двустаен, с височина на тавана 3 м.
Намира се на втори етаж от кота 0, с каменно стълбище и прекрасни парапети от ковано желязо.

Обадете се сега и запазете час за оглед: 0876 54 30 80"
75m²," Център, София",False,"36,990",EUR,,,6,,,Тухла,,,,,,,,,,,"Две подземни паркоместа находящи се в старата градска част на София между бул. Христо Ботев, бул. Сливница и Женски пазар. Чиста площ от 35 кв. м., като колите са една след друга. Би могло да се затвори помещението с гаражна врата и автоматично се превръща в подземен гараж. Двата отвора, които се виждат, ще бъдат затворени. Ще се продават самостоятелно само, ако купувачите на двустаен апартамент в същата сграда се откажат от паркоместата."
110m²," Център, София",False,"273,000",EUR,Обзаведен,1-ви,6,ТЕЦ,,Тухла,,,,,,,,,,,"Номер:45612. Агенция Абела предлага тристаен с възможност за преустройство на четиристаен апартамент в кв.Оборище с изключително атрактивна локация. На 1 минута от парк""Заимов"", на толкова и от метростанция ""Театрална"" и на 8 минути пешеходно разстояние от ""Докторска градина"". Апартамента е със ЗП- 97 кв.м. с прилежащо избено помещение от 12 кв.м и 46 кв.м. от парцела върху който е построена сградата. Жилището е на  първи етаж и е със следното разпределение: голямо антре/бивша кухня/, баня с тоалетна, отделна тоалетна, просторна дневна и две спални. Отопление:ТЕЦ. Изложение: Изток/Север/Запад. Подходящ за живеене, кантора , офис и др. В момента се ползва като салон за красота. Статут: Апартамент. За ваше улесненние съм приложил схеми за сегашното и оригиналното разпределение на жилището.
"
100m²," Център, София",False,"164,999",EUR,Обзаведен,1-ви,5,Електричество,,Тухла,,,,,,,,,,,"ЮГОЗАПАДЕН! С ВИСОК ТАВАН! ТИХА И СПОКОЙНА УЛИЦА!

Екипът на YOHOME недвижими имоти има удоволствието да ви представи обзаведен тристаен апартамент в тихата част на ул. Екзарх Йосиф в сграда с аристократично и качествено старо строителство. Апартаментът се намира на 1-ви жилищен етаж и е със следното разпределение: входно антре - вестибюл, хол, кухня, спалня, баня с тоалетна, отделена кухня. Имотът е с югозападно изложение. Отоплението е изцяло на електричество с много ниски разходи, а през лятото е хладно без нужда от климатик. Жилището е със статут на апартамент. Подходящо е както за живеене, така и за инвестиция с цел отдаване през Airbnb. Проверени чисти и изрядни документи. 

За повече информация и организиране на оглед се свържете с нас и цитирайте кода на обявата: 8790"
70m²," Център, София",False,"230,000",EUR,Необзаведен,2-ри,5,ТЕЦ,,Тухла,,,,,,,,,,,"Апартамент Дондуков

Представяме Ви, просторен двустаен апартамент с възможност за преустройство в тристаен в сърцето на град София. 

Апартаментът се намира в изключителен район - в непосредствена близост са Президентство на Република България, Народното събрание на Република България, Министерски съвет както и знакови исторически и културни места за града. 
В близост се намират няколко големи вериги супермаркети -  “Била” и “Лидъл”. Жилището се намира в синя зона за паркиране.

Имотът е разположен на втори жилищен етаж в сграда на 5 етажа с гледка към ул. Георги Бенковски, със застроена площ от 70 кв.м. В допълнение към имота има таван  и мазе. Помещенията са с височина 3.20м.


Разпределение: коридор, хол със светъл вестибюл, кухня с излаз на тераса, баня с тоалетна.


Апартаментът е подходящ както за живеене, така и за офис, нотариална кантора и др.

При интерес, можем да  организираме оглед в удобно за вас време.

+359876597218 / kanev@primoplus.bg
"
77m²," Център, София",False,"195,000",EUR,Обзаведен,2-ри,5,Електричество,,Тухла,,,,,,,,,,,"Имаме удоволствието да Ви представим имот с отлична локация - пл. Македония, до една от най- красивите сгради в столицата.....

Апартамент само на няколко минути пешеходно разстояние от Съдебната палата, бул. Витоша и др.

Жилището е с гледка към Бизнес център „Телъс тауър“ и вътрешния двор на сградата, светло и уютно, със следното разпределение:

входно антре.
дневна с малка тераса гледаща към бул. Хр. Ботев.
спалня.
кухня с тераса, гледаща към вътрешния двор.
втора спалня.
баня с тоалетна.

В имота е извършен частичен ремонт - подова излоация, латекс, външна изолация на цялата сграда, ел.инсталация, подови настилки.
Извършен е и ремонт на покрива през 2020г!

Апартаментът се намира на 2-ти етаж. В сградата няма асансьор.

77 кв.м. застроена площ + 6 кв.м. мазе и 3/64 идеални части от земята.

Един уникален имот, чиито предимства го правят подходящ за инвестиционно жилище, кантора, офис или лично ползване.



За повече информация - Цветан Кънев + 359 876 597 218 /kanev@primoplus.bg/ www.primoplus.bg
"
