Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
70m²,"кв. Симеоново, София",False,"180,000",EUR,Обзаведен,Партер,3,Електричество,,Тухла,,,,,,,,,,,"Имоти Сердика има удоволствието да Ви представи за продажба двустаен апартамент в ж.к. Симеоново. Имотът се намира до Ринг Мол, към момента е с акт 15. За оглед на това и други атрактивни предложения, не се колебайте да ни потърсите на посочения телефон за връзка. В случай, че не ви отговорим на момента, ще ви върнем обаждане при първа възможност. Предлагаме безплатно съдействие за отпускане на ипотечни и потребителски кредити. Преференциални условия! Още актуални оферти за наеми и продажби може да намерите в нашия сайт: www.serdika1.bg. ID:8538  
"
126m²,"кв. Симеоново, София",False,"182,700",EUR,Необзаведен,2-ри,5,Електричество,,Тухла,,,,,,,,,,,"Агенция за недвижими имоти 'Perfe' има удоволствието да Ви представи:

Четиристаен апартамент за продажба разположен в полите на Витоша, в един от най-предпочитаните и тихи райони на Столицата а именно кв. Симеоново.

Жилището е ситуирано на 2-ри от общо 5 етажа.

Разполага с площ от 126 кв.м. и е със следното практично разпределение:
антре, хол с кухненски бокс и трапезария, две спални, баня с тоалетна, тераса.

Отоплението е предвидено на ГАЗ.

Сградата е на етап АКТ 14, като АКТ 16 се очаква 2023г.

Изложение: ЮГ - ИЗТОК - СЕВЕР



Предлагаме множество имоти, които не са обявени в публичното пространство.

За повече въпроси и записване на час за оглед, обадете се на тел. +359 896505656

Референтен номер на имота:22511
"
83m²,"кв. Симеоново, София",False,"105,400",EUR,Необзаведен,3-ти,5,,,Тухла,,,,,,,,,,,"БЕЗ КОМИСИОННА ОТ КУПУВАЧА! Отлична инвестиция! Home Life Ви предлага за продажба двустаен апартамент с обща площ 83,65 кв.м. /чиста площ 69.66кв.м./ в луксозна нова сграда в предпочитания и развиващ се квартал Симеоново. Намира се в близост до кабинковия лифт, Ринг Мол, магазин Икея, бъдеща метростанция на метрото! Предвидено по проект дворно пространство с богато озеленяване. Предвидени са подземни паркоместа. Районът е предпочитан, поради бързия достъп до централната градска част, близостта си до главни пътни артерии. Жилищата са със светли и просторни стаи с панорамни гледки към града и планината и светла височина на таваните от 2,60м. и най-високо качество на строителните материали. Отопление на газ с индивидуални газови котлета. Очаква се разрешение за ползване през лятото на 2022г. Разпределение: антре, просторна дневна с трапезария и кухненски бокс, 1 спалня, 1 баня с тоалетна и балкон.
Възможност за закупуване на паркомясто на цена 12000евро. За повече информация можете да се свържете с отговорен брокер Виктория Пулева
"
126m²,"кв. Симеоново, София",False,"183,000",EUR,Необзаведен,2-ри,5,,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава четиристаен апартамент в кв.Симеоново. Апартаментът се намира в малка бутикова сгрда, която ще разполага само с девет апартамента, собствен озеленен двор с беседка, видеонаблюдение и луксозни общи части. Разположена е на тихо и спокойно място с бърз достъп до бул. Симеоновско шосе и Околовръстен път. Жилището се състои от входно антре, дневна с кухненски бокс, три спални,баня с тоалетна, отделна тоалетна, перално помещение, тераса. Има възможност за покупка на подземно паркомясто.Отопление на газ. Апартаментът се предлага на шпакловка и замазка, като са използвани най-висок клас строителни и довършителни материали - тухли - Винербергер; италиански подови настилки и мазилки в общите части; 7-камерна PVC дограма Рехау;'Сика' швейцарска хидроизолация в цялата сграда /сутерен, тераси, покрив/; Фасада с материали на 'Капарол' - 10 см топло изолация, самопочистваща се силикон-силикатна мазилка с карбон; Дизайнерски асансьор 'Орона'. В сградата предлагаме и други апартаменти. ДОКАЗАН СТРОИТЕЛ. Оферта в агенцията 8259. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 02/421 96 35 ; 0886 13 22 91 Димитър Георгиев.
"
134m²,"кв. Симеоново, София",False,"295,000",EUR,,Партер,,,,Тухла,,,,,,,,,,,"Апартамент с вдъхновяваща гледка за продажба в чудесен жилищен комплекс в кв.Симеоново.
Апартаментът се намира на втори етаж над партер. Изложението е север/юг.
Разпределение: просторна дневна с южна панорамна тераса, две спални, баня с тоалетна, отделно тоалетна, тераса и пред спалня.
Комплексът е с озеленен, поддържан двор и контрол на достъпа.
Към апартамента има подземно паркомясто с цена 20000 евро.
"
154m²,"кв. Симеоново, София",False,"240,000",EUR,Необзаведен,2-ри,3,,,Тухла,,,,,,,,,,,"Предлагаме на Вашето внимание имот представляващ два етажа от къща с прекрасна локация и страхотна панорамна гледка в квартал Симеоново, ул. „Погледец“. Намира се на 400 метра от магазин Фантастико, Била, спирки на градски транспорт, аптеки, заведения и централната част на квартала, на 250 метра от 64 Основно училище ""Цар Симеон Велики"" и в близост до няколко детски градини.

Втори и подпокривен етаж с функционално разпределение в прекрасна и много поддържана къща с РЗП на двете нива 154кв.м. С изцяло отделен вход, самостоятелно стълбище със складово помещение под него и 203 кв.м идеални части от хубав и поддържан двор с паркомясто. 

Състои се от:
Втори етаж: входно антре, преходна стая, спалня, всекидневна, кухня, баня с тоалетна и два балкона със застроена площ 78кв.м.

Подпокривен етаж: входно антре, две стаи, кухня, баня с тоалетна и две складови помещения със застроена площ от 76кв.м.

Къщата е изцяло санирана. Поставена ПВЦ дограма, Два бойлера, изведени радиатори във всички помещения захранвани от газов котел.

Изложения на имота са: Югозапад, Югоизток и Североизток.

Двата етажа могат да се използват заедно или изцяло самостоятелно, като в единия да се живее, а другият да се отдава под наем с цел генериране на пасивна доходност.

Имотът е с изрядни документи проверени от нотариус.
И двете нива са заснети като самостоятелни обекти в сграда със собствени идентификатори.
.
Референтен номер: 20358
.
Обадете се и заповядайте да го видите! Ще имате удоволствието да се възползвате от персонален консултант, който професионално ще Ви съпроводи през целия процес по закупуването на мечтания от Вас имот. При необходимост ще получите съдействие за отпускане на кредит, бързо и напълно безплатно. За повече информация и огледи свържете се с нас- www.arturimoti.bg +359 886 88 66 63, e-mail: office@arturimoti.bg 
"
154m²,"кв. Симеоново, София",False,"240,000",EUR,Необзаведен,2-ри,3,,,Тухла,,,,,,,,,,,"Предлагаме на Вашето внимание мезонет представляващ два етажа от къща с прекрасна локация и страхотна панорамна гледка в квартал Симеоново, ул. „Погледец“. Намира се на 400 метра от магазин Фантастико, Била, спирки на градски транспорт, аптеки, заведения и централната част на квартала, на 250 метра от 64 Основно училище ""Цар Симеон Велики"" и в близост до няколко детски градини.

Втори и подпокривен етаж с функционално разпределение в прекрасна и много поддържана къща с РЗП на двете нива 154кв.м. С изцяло отделен вход, самостоятелно стълбище със складово помещение под него и 203 кв.м идеални части от хубав и поддържан двор с паркомясто. 

 Състои се от:
Втори етаж: входно антре, преходна стая, спалня, всекидневна, кухня, баня с тоалетна и два балкона със застроена площ 78кв.м.

 Подпокривен етаж: входно антре, две стаи, кухня, баня с тоалетна и две складови помещения със застроена площ от 76кв.м.

Къщата е изцяло санирана. Поставена ПВЦ дограма, Два бойлера, изведени радиатори във всички помещения захранвани от газов котел. 

Изложения на имота са: Югозапад, Югоизток и Североизток.

Двата етажа могат да се използват заедно или изцяло самостоятелно, като в единия да се живее, а другият да се отдава под наем с цел генериране на пасивна доходност.

Имотът е с изрядни документи проверени от нотариус.
И двете нива са заснети като самостоятелни обекти в сграда със собствени идентификатори. 
.
 Референтен номер: 20358
 .
 Обадете се и заповядайте да го видите! Ще имате удоволствието да се възползвате от персонален консултант, който професионално ще Ви съпроводи през целия процес по закупуването на мечтания от Вас имот. При необходимост ще получите съдействие за отпускане на кредит, бързо и напълно безплатно. За повече информация и огледи свържете се с нас- www.arturimoti.bg +359 886 88 66 63, e-mail: office@arturimoti.bg 
"
154m²,"кв. Симеоново, София",False,"240,000",EUR,Необзаведен,2-ри,3,,,Тухла,,,,,,,,,,,"Предлагаме на Вашето внимание многостаен имот представляващ два етажа от къща с прекрасна локация и страхотна панорамна гледка в квартал Симеоново, ул. „Погледец“. Намира се на 400 метра от магазин Фантастико, Била, спирки на градски транспорт, аптеки, заведения и централната част на квартала, на 250 метра от 64 Основно училище ""Цар Симеон Велики"" и в близост до няколко детски градини.

Втори и подпокривен етаж с функционално разпределение в прекрасна и много поддържана къща с РЗП на двете нива 154кв.м. С изцяло отделен вход, самостоятелно стълбище със складово помещение под него и 203 кв.м идеални части от хубав и поддържан двор с паркомясто. 

Състои се от:
Втори етаж: входно антре, преходна стая, спалня, всекидневна, кухня, баня с тоалетна и два балкона със застроена площ 78кв.м.

Подпокривен етаж: входно антре, две стаи, кухня, баня с тоалетна и две складови помещения със застроена площ от 76кв.м.

Къщата е изцяло санирана. Поставена ПВЦ дограма, два бойлера, изведени радиатори във всички помещения захранвани от газов котел.

Изложения на имота са: Югозапад, Югоизток и Североизток.

Двата етажа могат да се използват заедно или изцяло самостоятелно, като в единия да се живее, а другият да се отдава под наем с цел генериране на пасивна доходност.

Имотът е с изрядни документи проверени от нотариус.
И двете нива са заснети като самостоятелни обекти в сграда със собствени идентификатори.
.
Референтен номер: 20358
.
Обадете се и заповядайте да го видите! Ще имате удоволствието да се възползвате от персонален консултант, който професионално ще Ви съпроводи през целия процес по закупуването на мечтания от Вас имот. При необходимост ще получите съдействие за отпускане на кредит, бързо и напълно безплатно. За повече информация и огледи свържете се с нас- www.arturimoti.bg +359 886 88 66 63, e-mail: office@arturimoti.bg 
"
128m²,"кв. Симеоново, София",False,"358,400",EUR,Обзаведен,3-ти,4,Електричество,,Тухла,,,,,,,,,,,"Оферта №: 1111
Агенция „Trust Broker Solutions” предлага на Вашето внимание ремонтиран и обзаведен тристаен апартамент във ""Витоша Вилидж"". До лифта.
РАЗПРЕДЕЛЕНИЕ:
Апартамента се състои от антре,коридор, спалня, детска, дневна, кухненски бокс, баня с тоалетна, тоалетна, мокро помещение, две тераси.
ЛОКАЦИЯ:
Намира се в кв. ""Симеоново"" над Ринг МОЛ. В Близост: Лифт; Спирка на градски транспорт; МОЛ; Полите на Витоша.
СЪСТОЯНИЕ:
Апартаментът е ремонтиран и обзаведен. Стени - топлоизолация, шумоизолация и боя. Подове - травентин (камък), трислоен естествен паркет, гранитогрес, декинг (по тераси). Подово отопление в баня. Изградени инсталации. Външна блиндирана врата. Алуминиева дограма.
ДОПЪЛНИТЕЛНА ИНФОРМАЦИЯ:
- Разрешение за ползване (Акт 16) от 2018 г.
- Вид строителство: Тухла.
- Етаж: 3 от 4
- Площ: 128 м2
- Изложение: Изток - Запад.
- Отопление: Електричество, газ.
Агенция „Trust Broker Solutions” предлага напълно безплатно кредитни консултации. Работим с всички банки в страната, на преференциални условия. Кредитният ни отдел е регистриран в БНБ като независим банков консултант по ипотечно кредитиране.
За още оферти посетете сайта ни: tbsestates.bg или се обадете на 0988830688.
"
100m²,"кв. Симеоново, София",False,"150,000",EUR,Необзаведен,2-ри,5,Електричество,,Тухла,,,,,,,,,,,"Агенция за недвижими имоти 'Perfe' има удоволствието да Ви представи:

Тристаен ап. на етап проект с локация кв. Симеоново.

Цената е с включено паркомясто.

Разполага с обща площ от 100 кв.м.

Жилището ще бъде ситуирано посредством, в малка бутикова сграда в един от най - предпочитаните за живеене райони в Столицата с бърз достъп до централната част на града, съчетан 

със спокойствие и тишина, а именно кв. Симеоново.

Разпределението му е както следва:

Предверие, просторна дневна с кухненски бокс и трапезария, две спални, две бани с тоалетна, балкон.

Сградата ще се изгради с висок клас съвременни материали.

Най-висок клас дограма с профил от DECEUNINCK цвят Антрацит, троен стъклопакет 44мм, К-стъкло, 4-ри сезона. 

Фасадата BAUMIT пакет с 100мм EPS и полимерна мазилка, частично окачена фасада с каменна вата 100мм и панели HPL.

Общите части са завършени с гранит, парапети с прахово покритие и луксозен гранитогрес/мрамор/гранит.

Модерен безшумен асансьор SCHNEIDER.

Налични 3 - тристайни и 2 - двустайни апартамента.

Цената е при авансово плащане на разрешение на строеж.

Възможност за резервиране на имота на цена от 3 000 EUR








﻿

﻿За повече въпроси и записване на час за оглед, обадете се на тел.: +359 898814440


Референтен номер: 12727
"
