Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
87m²,"жк. Красно Село, София",False,"165,000",EUR,Обзаведен,8-ми,11,ТЕЦ,,ЕПК,,,,,,,,,,,"Представяме на вашето внимание просторен тристаен апартамент на комуникативна локация в ж..к. Красно село. 
Жилището се намира в ЕПК сграда на 8-ми етаж от общо 11. В непосредствена близост до пазар Красно село и на 200 метра от Метростанция "" Красно село"", тр. №5, автобуси 83, 73, 102,Фантастико, редица училища, детски градини, заведения. Лесен достъп до центара на града по бул. Цар Борис, бул. Гоце Делчев, бул. България. Безпроблемно паркиране в междублоковото пространство, или на платен паркинг до кооперацията.
Апартаментът е тристаен 87 кв.м. със следното разпределение: коридор, хол, кухня, две спални, баня с тоалетнa, отделна тоалетна, три балкона. Изложение Изток- Запад.
Към апартамента има и мазе 5 кв.м. Походящ имот за преустройство в четиристаен. 

"
69m²,"жк. Красно Село, София",False,"157,000",EUR,Обзаведен,13-ти,18,,,ЕПК,,,,,,,,,,,"Предлагам на Вашето внимание прекрасен тристаен апартамент с чиста жилищна площ 69 кв.м. на отлична локация в квартал Красно село. Апартаментът се намира в сграда, която е цялостно санирана през 2018 г. (външна топлоизолация, при обледането на сградата преди санирането се установи, че сградата е конструктивно здрава, без пукнатини и дефекти в носещите елементи). Жилището е ремонтирано (сменени електрическа и ВиК инсталация) и обзаведено с НОВИ И НЕУПОТРЕБЯВАНИ МЕБЕЛИ И ОБЗАВЕЖДАНЕ - кухня по поръчка, съдомиялна, вградени хладилник с фризер, фурна, котлони, абсорбатор, микровълнова фурна и други. ВСИЧКИ УРЕДИ, МЕБЕЛИ И ОБЗАВЕЖДАНЕ СА ВКЛЮЧЕНИ В ЦЕНАТА!!! Отоплението е чрез ТЕЦ. Разпределение: дневна с кухненски бокс и трапезария, спалня, втора спалня, остъклена тераса, баня с тоалетна, килер и таванско помещение. Офертата е за частни лица! Агенция ВАЛЕР е вече 28 години на пазара на недвижими имоти. Утвърдили сме се като професионалисти. Водещи принципи в нашата работа са лоялността и коректността към клиентите на агенцията. Огледи - с подписан Протокол за оглед, комисионна 2,5% от продажната цена. За контакт: 0894591461, http://www.valer.bg/bg
"
151m²,"жк. Красно Село, София",False,"234,000",EUR,Обзаведен,4-ти,,,,Тухла,,,,,,,,,,,",Агенция за недвижими имоти ВАЛЕР предлага уникален имот за инвестиция в района на Красно село. Продават се три апартамента на един нотариален акт в пет-етажна монолитна сграда от 80-те години на бул. Гоце Делчев с изглед към Витоша. М. Метростанция Цар Борис 3 Красно село се намира на 150м. Сградата има своя паркинг зона зад нея, а около нея се паркира също свободно без такси за зелена или синя зона. Общата квадратура по нотариален акт е 151кв чисто, без да се включват общи части. В тази квадратура влиза 5кв мазе. Апартаментите са практически разделени с отделни входни врати, водомери, електромери и тн. Всички апартаменти са преминали през основен ремонт и са подменени ел. инсталации, ВИК, щтрангове, ПВЦ дограми и врати, теракот и гранитогрес. Също е сменен покрива над жилищата като са поставени нови VELUX прозорци. Отоплението е на ток, тъй като в сградата няма ТЕЦ. Сградата е без асансьор. Апартаментите не са обзаведени и мокрите помещения и кухните не са довършени . Мокрите помещения са изцяло подготвени за поставяне на фаянс и санитария. Запазени и изциклени са автентични естествени паркети, които могат да бъдат лакирани по подходящ начин. Запазени са и автентични интериорни врати от масивно дърво, които са подходящи в съчетанието си с естествения паркет. Апартамент 1 - 78кв. с изложение юг/изток/север, 4ти етаж. В него се помещават голям хол, спалня, кухня с остъклена тераса, баня, отделно тоалетна, коридори и ниши за гардероб и складиране, които са бонус към квадратурата. Апартамент 2 - 41кв. с изложение юг, 4ти етаж. В него се помещават спалня, кухня, трапезария, баня и тоалетна, коридори и ниши за гардероб и складиране, които са бонус към квадратурата. Апартамент 3 - 27кв. с изложение юг/изток, 5ти етаж. В него се помещават голяма спалня, кухня, баня и тоалетна. Възможно е да се живее в тях и/или да се отдават по наем веднага. Възможно е по вкус на новия собственик да се свържат 2 от апартаментите и да се превърнат в един голям многостаен. Възможно е и да се разделят формално в отделни нотариални актове и да се предложат на пазара отделно. Агенция ВАЛЕР е вече 28 години на пазара на недвижими имоти. Утвърдили сме се като професионалисти. Водещи принципи в нашата работа са лоялността и коректността към клиентите на агенцията. Огледи - с подписан Протокол за оглед, комисионна 2,5% от продажната цена. За контакт: 0894591461, http://www.valer.bg/bg
"
203m²,"жк. Красно Село, София",False,"293,929",EUR,Необзаведен,4-ти,5,ТЕЦ,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава четиристаен апартамент в кв. Красно село. Жилището се намира в луксозен затворен комплекс, разположен на много комуникативно място в близост до бул.Цар Борис III , метростанция Красно село. Комплексът се състои от 14 сгради, обширни паркови пространства, озеленяване,кътове за отдих, алейна мрежа и детски площадки с площ над 20 000 кв.м., без достъп за автомобили. Апартаментът се състои от входно антре, дневна с кухненски бокс и трапезария, три спални (едната разполага със собствена баня с тоалетна и дрешник), две бани с тоалетни, мокро помещение, тераса. Възможност за закупуване на гаражи и паркоместа. Предава се на шпакловка и замазка. Цената е с включен ДДС.Схеми на плащане:Вариант I10% от цената на апaртамента (авансово плащане)при подписване на предварителен договор90%от цената на апaртамента (финално плащане) при подписване на Нотариален актВариант II30% от цената на апaртамента (авансово плащане) при подписване на предварителен договор70% от цената на апaртамента (финално плащане) при подписване на Нотариален актВариант III50% от цената на апaртамента (авансово плащане) при подписване на предварителен договор50% от цената на апaртамента (финално плащане) при подписване на Нотариален актВариант IV70% от цената на апaртамента (авансово плащане) при подписване на предварителен договор30% от цената на апaртамента (финално плащане) при подписване на Нотариален актВ комплекса предлагаме и други апартаменти. Качествено строителство от доказал се строител. Оферта в агенцията 8573. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www. dreamvision. bg Телефони за връзка: 02 421 96 35 / 0886 13 22 91 Димитър Георгиев "
138m²,"жк. Красно Село, София",False,"172,650",EUR,Необзаведен,4-ти,6,ТЕЦ,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава тристаен апартамент в кв. Красно село. Жилището се намира в луксозен затворен комплекс, разположен на много комуникативно място в близост до бул.Цар Борис III , метростанция Красно село. Комплексът се състои от 14 сгради, обширни паркови пространства, озеленяване,кътове за отдих, алейна мрежа и детски площадки с площ над 20 000 кв.м., без достъп за автомобили. Апартаментът се състои от входно антре, дневна с кухненски бокс и трапезария, две спални (едната разполага със собствена баня с тоалетна), втора баня с тоалетна, мокро помещение, тераса. Възможност за закупуване на гаражи и паркоместа. Предава се на шпакловка и замазка. Цената е с включен ДДС.Схеми на плащане:Вариант I10% от цената на апaртамента (авансово плащане)при подписване на предварителен договор90%от цената на апaртамента (финално плащане) при подписване на Нотариален актВариант II30% от цената на апaртамента (авансово плащане) при подписване на предварителен договор70% от цената на апaртамента (финално плащане) при подписване на Нотариален актВариант III50% от цената на апaртамента (авансово плащане) при подписване на предварителен договор50% от цената на апaртамента (финално плащане) при подписване на Нотариален актВариант IV70% от цената на апaртамента (авансово плащане) при подписване на предварителен договор30% от цената на апaртамента (финално плащане) при подписване на Нотариален актВ комплекса предлагаме и други апартаменти. Качествено строителство от доказал се строител. Оферта в агенцията 8572. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www. dreamvision. bg Телефони за връзка: 02 421 96 35 / 0886 13 22 91 Димитър Георгиев "
119m²,"жк. Красно Село, София",False,"148,300",EUR,,6-ти,8,ТЕЦ,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава тристаен апартамент в кв. Красно село. Жилището се намира в луксозен затворен комплекс, разположен на много комуникативно място в близост до бул.Цар Борис III , метростанция Красно село. Комплексът се състои от 14 сгради, обширни паркови пространства, озеленяване,кътове за отдих, алейна мрежа и детски площадки с площ над 20 000 кв.м., без достъп за автомобили. Апартаментът се състои от входно антре, дневна с кухненски бокс и трапезария, две спални (едната разполага със собствена баня с тоалетна и тераса), втора баня с тоалетна, мокро помещение, втора тераса. Възможност за закупуване на гаражи и паркоместа. Предава се на шпакловка и замазка. Цената е с включен ДДС.Схеми на плащане:Вариант I10% от цената на апaртамента (авансово плащане)при подписване на предварителен договор90%от цената на апaртамента (финално плащане) при подписване на Нотариален актВариант II30% от цената на апaртамента (авансово плащане) при подписване на предварителен договор70% от цената на апaртамента (финално плащане) при подписване на Нотариален актВариант III50% от цената на апaртамента (авансово плащане) при подписване на предварителен договор50% от цената на апaртамента (финално плащане) при подписване на Нотариален актВариант IV70% от цената на апaртамента (авансово плащане) при подписване на предварителен договор30% от цената на апaртамента (финално плащане) при подписване на Нотариален актВ комплекса предлагаме и други апартаменти. Качествено строителство от доказал се строител. Оферта в агенцията 8571. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www. dreamvision. bg Телефони за връзка: 02 421 96 35 / 0886 13 22 91 Димитър Георгиев "
84m²,"жк. Красно Село, София",False,"104,150",EUR,Необзаведен,9-ти,12,ТЕЦ,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава двустаен апартамент в кв.Красно село. Жилището се намира в луксозен затворен комплекс, разположен на много комуникативно място в близост до бул.Цар Борис III , метростанция Красно село.Комплексът се състои от 14 сгради, обширни паркови пространства, озеленяване,кътове за отдих, алейна мрежа и детски площадки с площ над 20 000 кв.м., без достъп за автомобили. Апартаментът се състои от входно антре, дневна с кухненски бокс и трапезария, спалня, баня с тоалетна, тераса. Възможност за закупуване на гаражи и паркоместа. Предава се на шпакловка и замазка. Цената е с включен ДДС.Схеми на плащане:Вариант I10% от цената на апaртамента (авансово плащане)при подписване на предварителен договор90%от цената на апaртамента (финално плащане) при подписване на Нотариален актВариант II30% от цената на апaртамента (авансово плащане) при подписване на предварителен договор70% от цената на апaртамента (финално плащане) при подписване на Нотариален актВариант III50% от цената на апaртамента (авансово плащане) при подписване на предварителен договор50% от цената на апaртамента (финално плащане) при подписване на Нотариален актВариант IV70% от цената на апaртамента (авансово плащане) при подписване на предварителен договор30% от цената на апaртамента (финално плащане) при подписване на Нотариален актВ комплекса предлагаме и други апартаменти. Качествено строителство от доказал се строител. Оферта в агенцията8569. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www. dreamvision. bg Телефони за връзка: 02 421 96 35 / 0886 13 22 91Димитър Георгиев "
122m²,"жк. Красно Село, София",False,"151,337",EUR,Необзаведен,5-ти,8,ТЕЦ,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава тристаен апартамент в кв.Красно село. Жилището се намира в луксозен затворен комплекс, разположен на много комуникативно място в близост до бул.Цар Борис III , метростанция Красно село.Комплексът се състои от 14 сгради, обширни паркови пространства, озеленяване,кътове за отдих, алейна мрежа и детски площадки с площ над 20 000 кв.м., без достъп за автомобили. Апартаментът се състои от входно антре, дневна с кухненски бокс и трапезария, две спални (едната разполага със собствена баня с тоалетна), втора баня с тоалетна, мокро помещение, тераса. Възможност за закупуване на гаражи и паркоместа. Предава се на шпакловка и замазка. Цената е с включен ДДС.Схеми на плащане:Вариант I10% от цената на апaртамента (авансово плащане)при подписване на предварителен договор90%от цената на апaртамента (финално плащане) при подписване на Нотариален актВариант II30% от цената на апaртамента (авансово плащане) при подписване на предварителен договор70% от цената на апaртамента (финално плащане) при подписване на Нотариален актВариант III50% от цената на апaртамента (авансово плащане) при подписване на предварителен договор50% от цената на апaртамента (финално плащане) при подписване на Нотариален актВариант IV70% от цената на апaртамента (авансово плащане) при подписване на предварителен договор30% от цената на апaртамента (финално плащане) при подписване на Нотариален актВ комплекса предлагаме и други апартаменти. Качествено строителство от доказал се строител. Оферта в агенцията 8570. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www. dreamvision. bg Телефони за връзка: 02 421 96 35 / 0886 13 22 91Димитър Георгиев "
78m²,"жк. Красно Село, София",False,"97,112",EUR,Необзаведен,4-ти,12,ТЕЦ,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава двустаен апартамент в кв.Красно село. Жилището се намира в луксозен затворен комплекс, разположен на много комуникативно място в близост до бул.Цар Борис III , метростанция Красно село.Комплексът се състои от 14 сгради, обширни паркови пространства, озеленяване,кътове за отдих, алейна мрежа и детски площадки с площ над 20 000 кв.м., без достъп за автомобили. Апартаментът се състои от входно антре, дневна с кухненски бокс и трапезария, спалня, баня с тоалетна. Възможност за закупуване на гаражи и паркоместа. Предава се на шпакловка и замазка. Цената е с включен ДДС.
Схеми на плащане: 
Вариант I
10% от цената на апaртамента (авансово плащане)при подписване на предварителен договор
90%от цената на апaртамента (финално плащане) при подписване на Нотариален акт
Вариант II
30% от цената на апaртамента (авансово плащане) при подписване на предварителен договор 
70% от цената на апaртамента (финално плащане) при подписване на Нотариален акт
Вариант III
50% от цената на апaртамента (авансово плащане) при подписване на предварителен договор
50% от цената на апaртамента (финално плащане) при подписване на Нотариален акт
Вариант IV
70% от цената на апaртамента (авансово плащане) при подписване на предварителен договор
30% от цената на апaртамента (финално плащане) при подписване на Нотариален акт

В комплекса предлагаме и други апартаменти. Качествено строителство от доказал се строител. Оферта в агенцията  № 8568. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www. dreamvision. bg Телефони за връзка: 02 421 96 35 / 0886 13 22 91Димитър Георгиев
"
90m²,"жк. Красно Село, София",False,"125,000",EUR,Обзаведен,6-ти,6,,,,,,,,,,,,,,"396655 Предлагам МЕЗОНЕТ в кв. Красно село, до пазара и метростанцията.

	* Първо ниво: всекидневна с кухненски бокс, малка стая, баня с тоалетна, южна тераса;
	* Второ ниво: две спални, баня с тоалетна.

Отоплението е чрез климатици.

Към имота има прилежащо мазе.

Имотът има жилищен статут; Сградата има асансьор; Продава се без обзавеждане; ОТОПЛЕНИЕ: климатик; Има 1 балкон/тераса; Има нужда от ремонт; Преходен; ВИД СТРОИТЕЛСТВО: тухла; ЗАСТРОЕНА ПЛОЩ 83 кв.м; ПУСКОВ СРОК: 01.2001; ИЗЛОЖЕНИЕ: изток; СПАЛНИ: 1; БАНИ: 1; ДОГРАМА: PVC

_________________________________________________________________________________________________

Към потенциалните продавачи! 
Ако продавате подобен имот или обмисляте дали да го направите в близко бъдеще, моля свържете се с мен. Имам клиенти, които търсят в района. Мога да дам ориентировъчна цена по телефон или имейл и по-точна цена при оглед на място.

ОГЛЕДЪТ И КОНСУЛТАЦИЯТА СА БЕЗПЛАТНИ.

МОЖЕТЕ СЪЩО ТАКА, ДА ПОДАДЕТЕ И БЕЗПЛАТНА ЧАСТНА ОБЯВА ЗА ПРОДАЖБА НА ВАШИЯ ИМОТ В MIRELA.BG, БЕЗ БРОКЕР И КОМИСИОНА. За повече информация попитайте за оферта 396655"
