Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
60m²,"жк. Яворов, София",False,"179,000",EUR,Обзаведен,1-ви,5,ТЕЦ,,Тухла,,,,,,,,,,,"Имоти Премиер предлага на Вашето внимание тристаен апартамент в кв. Яворов.

Жилището се намира на 1-ви етаж от 6 и е с чиста площ от 60м2.

В близост до пл. 'Орлов мост', парк 'Борисова градина' и всякакви транспортни връзки.

Саниран, със сменени ел. инсталация, ВиК инсталация, външни ролетни щори, комарници и решетки, PVC дограма и блиндирана врата. Ремонтирана баня. Апартаментът се намира на 1-ви етаж и гледа към вътрешен двор. Разполага с мазе /5 кв.м/ и таван /3 кв.м./ извън посочената квадратура.

Състои се от антре, кухненски бокс, дневен тракт и 2 спални, които са преходни. Едната спалня е отделена със стъклена плъзгаща врата, което позволява приобщаването й към дневната /при желание/.

Код на обявата:343287"
97m²,"жк. Яворов, София",False,"240,000",EUR,,2-ри,5,ТЕЦ,,Тухла,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ Ви представя за продажба просторен тристаен апартамент в района на кв.Яворов, в близост пл.Орлов мост, Борисовата градина, до множество спирки на обществения транспорт.

Жилището е разположено в монолитна тухлена кооперация на етаж първи над гаражи с площ от 97 кв.м. Състои се от голяма холна стая, две спални, кухня, баня и тоалетна и отделна тоалетна, антре и балкон . Предлага различни възможности за преустройства. Нуждае се от съвременен ремонт. Монолитна кооперация с поддържан вход. Отоплението е на тец. Към имота има мазе и таван.Подходящ за живеене или инвестиция!!! 

***

За повече информация и оглед: 0884908077
Водещ брокер: Евелина Траянска

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ!

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!

ПЕРФЕКТНО изработени и приключени документално имотни сделки!"
100m²,"жк. Яворов, София",False,"350,000",EUR,,3-ти,6,ТЕЦ,,Тухла,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ Ви предлага за продажба прекрасен, аристократичен, просторен и обзаведен със собствен акцент и стил тристаен апартамент в един от най-желаните столични квартали- Яворов , на метри от БНТ,Орлов мост, Борисовата градина! 
Изключителен имот поради своята локация и съдържание, разположен на трети етаж в тухлена сграда от 40 - те години, на чаровна улица, запазила аристократичния дух на Стара София!
Сградата се характеризира с качество и стабилност на строителството.Апартаментът предлага много предимства за купувачите: Източно и южно изложение,с гледка към добре поддържан вътрешен двор, реална квадратура по документ за собственост 96 кв.м. и стара нормативна уредба, гарантираща просторни помещения, високи тавани, мазе 16кв.м. и светло обитаемо таванско помещение от около 16кв.м. извън тази квадратура. Практично разпределение, отличен етаж.
Имотът разполага със слънчеви и светли помещения и има следното разпределение: обширна дневна,голям вестибюл, две просторни и непреходни спални, самостоятелна голяма кухня с балкон, която може да бъде реорганизирана във трета спалня, баня,отделно тоалетна,килер, мазе и таван.
Разпределението на имота позволява преустройство според необходимостта от помещения за ползване на новите собственици.Таванското помещение може да се направи на кабинет или да се отдава под наем,разполага с ТЕЦ и тоалетна на етажа.Жилището е в добро състояние, в оригиналната си форма, запазени са оригиналният дъбов паркет, портални и други врати, прозорците са подменени с алуминиева дограма, блиндирана входна врата, отоплението е от централен ТЕЦ.Идеални части от двора на кооперацията. Обновени и поддържани общи части, приятни съседи.
Възможност за паркиране в двора на кооперацията!
Без асансьор.Перфектен за инвестиция или за живеене!

***

За контакти, повече информация и огледи, водещ брокер: Илиана Тошева 0876 72 00 20

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ!

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!

ПЕРФЕКТНО изработени и приключени документално имотни сделки! "
100m²,"жк. Яворов, София",False,"350,000",EUR,,3-ти,6,ТЕЦ,,Тухла,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ Ви предлага за продажба прекрасен, аристократичен, просторен и обзаведен със собствен акцент и стил тристаен апартамент в един от най-желаните столични квартали- Яворов , на метри от БНТ,Орлов мост, Борисовата градина! 
Изключителен имот поради своята локация и съдържание,разположен на трети етаж в тухлена сграда от 40 - те години, на чаровна улица, запазила аристократичния дух на Стара София!
Сградата се характеризира с качество и стабилност на строителството.Апартаментът предлага много предимства за купувачите: Източно и южно изложение,с гледка към добре поддържан вътрешен двор, реална квадратура по документ за собственост 96 кв.м. и стара нормативна уредба,гарантираща просторни помещения ,високи тавани , мазе 16кв.м ,и светло обитаемо таванско помещение от около 16кв.м. извън тази квадратура. 
Практично разпределение, отличен етаж. Имотът разполага със слънчеви и светли помещения и има следното разпределение: обширна дневна,голям вестибюл,двепросторни и непреходни спални , самостоятелна голяма кухня с балкон, която може да бъде реорганизирана във трета спалня, баня,отделно тоалетна,килер, мазе и таван.Разпределението на имота позволява преустройство според необходимостта от помещения за ползване на новите собственици.Таванското помещение може да се направи на кабинет или да се отдава под наем,разполага с ТЕЦ и тоалетна на етажа. Жилището е в добро състояние, в оригиналната си форма, запазени са оригиналният дъбов паркет, портални и други врати, прозорците са подменени с алуминиева дограма, блиндирана входна врата, отоплението е от централен ТЕЦ.Идеални части от двора на кооперацията. Обновени и поддържани общи части, приятни съседи.
Възможност за паркиране в двора на кооперацията!
Без асансьор.Перфектен за инвестиция или за живеене!

***

За контакти, повече информация и огледи, водещ брокер: Илиана Тошева 0876 72 00 20

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ!

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!

ПЕРФЕКТНО изработени и приключени документално имотни сделки! "
112m²,"жк. Яворов, София",False,"240,000",EUR,,5-ти,7,,,Тухла,,,,,,,,,,,"КОД в агенцията: 32126. РЕАЛНА ОФЕРТА! ПРОСТОРЕН И СВЕТЪЛ ТРИСТАЕН АПАРТАМЕНТ находящ се на комуникативно място. Разположен на 1-ви жилищен етажа от 5 етажна тухлена сграда от 1959г. Продава се обзаведен. Разпределение: голям хол, самостоятелна кухня, две стаи, баня, отделна тоалетна и тераса. Отоплението е на ТЕЦ. С ПРЕХОД. Площ по Нотариален акт: 112кв. Към апартамента има мазе - 12кв.м.  и таванско помещение - 7кв.м. Сградата разполага с контрол на достъпа. Поддържан вход. ПРИ НАС МОЖЕ ДА СЕ ВЪЗПОЛЗВАТЕ от безплатна консултация с независим кредитен консултант и да получите най-добрите условия за вашия ипотечен кредит!!! Агенцията работи с комисионна. ЛЪКИ НЕДВИЖИМИ ИМОТИ моб.тел. 0884 688 866. Всички наши оферти ги работим с КОРЕКТНИ КОЛЕГИ!"
75m²,"жк. Яворов, София",False,"176,000",EUR,Необзаведен,3-ти,4,Прокарва се,,Тухла,,,,,,,,,,,"Тристаен апартамент, в сграда само с 4 апартамента, намиращ се на трети непоследен етаж.

С прекрасен двор и обособени паркоместа в двора.
 Обади се сега и цитирай този код 563615"
70m²,"жк. Яворов, София",True,"259,980",EUR,Обзаведен,2-ри,5,ТЕЦ,,Тухла,,,,,,,,,,,"К - КОНСУЛТ продава аристократичен 3-стаен апартамент в кв. Явор.
Сградата е построена през 1982г., с добре поддържани общи части и контрол на достъп.
Улегнало и проверено във времето строителство, намира се между парк Борисова градина и парк Военна академия, до множество спирки на градски транспорт, търговски обекти, учебни заведения, клубове, ресторанти, аптеки, банки и много други.
Апартамента е след основен ремонт, състои се от: Входно антре, дневна с кухненски бокс и светъл, просторен вестибюл, спалня, баня с тоалетна и тераса.
Към жилището има прилежащи мазе- 10кв.м. и таван- 10кв.м.
Изложение юг - запад.
Имотът е изключително атрактивен, както за закупуване за собствено ползване, така и с цел инвестиция, за всички които търсят своят прекрасен нов дом.
"
60m²,"жк. Яворов, София",True,"179,000",EUR,Обзаведен,1-ви,5,ТЕЦ,,Тухла,,,,,,,,,,,"К - КОНСУЛТ продава 3-стаен апартамент на метри от Орлов мост. 
Локацията подсигурява бърз достъп, до метростанция, спирки на градски транспорт, разнообразни магазини, учебни и здравни заведения, административни учреждения и много други.
Сградата е в добро състояние, с поддържани общи части.
Апартаментът е саниран, със сменени Ел. инсталация, ВиК инсталация, външни ролетни щори, комарници, PVC дограма и блиндирана врата. 
Апартаментът гледа изцяло към вътрешен двор, състои се от: Входно антре, дневна с кухненски бокс, две спални, ремонтирана баня.
Площта на имота е 60 кв.м. по нотариален акт. 
Разполага с мазе /5 кв.м/ и таван /3 кв.м./ извън посочената квадратура. 
Апартаментът се нуждае от освежителен ремонт.
К - КОНСУЛТ предлага висококачествени довършителни работи и ремонтни дейности."
60m²,"жк. Яворов, София",True,"179,000",EUR,Обзаведен,1-ви,5,ТЕЦ,,Тухла,,,,,,,,,,,"PLACE2LIVE Ви представя практичен тристаен апартамент, находящ се в кв. Яворов само на 100 м. от ""Орлов мост"". Разположен е на първи етаж с гледка към вътрешен двор. В близост до него се намират множество магазини, заведения и ресторанти, аптеки, банки, училища и детски градини, паркови зони и др. Благодарение на местоположението си, предоставя отличен достъп до различен тип градски транспорт като автобусни и тролейбусни спирки и метростанция ""Орлов мост"". Това го превръща в изключително комуникативно жилище с лесен достъп до всяко кътче на града. Апартаментът е с квадратура от 60 кв.м по нотариален акт, функционално разпределени по следния начин: входно антре, кухненски бокс, дневен тракт и две преходни спални. Едната от тях е отделена със стъклена плъзгаща врата, което позволява приобщаването й към дневната /при желание/. Имотът е саниран, със сменени ел. инсталация, ВиК инсталация, външни ролетни щори, комарници и решетки, PVC дограма и блиндирана врата, както и ремонтирана баня. Разполага с мазе с площ от 5 кв.м и таван от 3 кв.м. извън посочената квадратура.

За повече информация и огледи, този номер ще Ви е необходим: 1650
PLACE2LIVE предлага професионално съдействие при:
- Съдействие за одобрение на жилищен и потребителски кредит;
- Всички видове застраховки;
- Юридически и счетоводни услуги;
- Строително - Ремонтни дейности до ключ;
- Обзавеждане.
"
18m²,"жк. Яворов, София",False,"35,700",EUR,,Партер,,,,Тухла,,,,,,,,,,,"- Подземен гараж с удобен подход , с площ от 18 кв. м. , на ул. Симеонов век. В непосредствена близост до ул. Хемус. Оборудван с дистанционно управлявана ролетна щора. Повече информация , както уговорки относно огледи , на тел. : 0889 550 950"
