Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
130m²,"кв. Витоша, София",False,"165,750",EUR,,1-ви,4,Локално отопление,,Тухла,,,,,,,,,,,"АДАМАНТ Недвижими имотипредставя екслузивно ПРОСТОРЕН, СЛЪНЧЕВ и ЛУКСОЗЕН 3 - СТАЕН апартамент С ИНДИВИДУАЛНА УЮТНА ГРАДИНА в  НОВОСТРОЯЩ СЕ ЖИЛИЩЕН КОМПЛЕКС ОТ ЗАТВОРЕН ТИП В ПОЛИТЕ НА ВИТОША в непосредствена близост до:

Метростанция Младост 4 и Метростанция Хладилника;
Френски лицей 'Виктор Юго', 64 ОУ 'Цар Симеон Велики', частните училища 'Дрита', 'Рьорих', Частно училище и детска градина 'ЕСПА', частна детска градина и ясла 'Ян-Бибиян';
бул. Симеоновско шосе, бул. Окловръстен път; 
Автобусна спирка- номер 67;
 Парк Витоша;
 Ring Mall, Ikea, Kaufland, Фантастико, Банки, Ресторанти и др.
 с бърз и лесен достъп до центъра на града. 
-
⚠ Етап на строителство: ВЗЕТ АКТ 16
Изпълнена ел. инсталация, водопроводна инсталация и ОВК инсталация. Монтирани радиатори и газови котли 'Viessmann'. Изцяло завършени общи части. Монтирани асансьори 'Orona' и дограмаReynaers . В момента се изгражда ландшафта, вертикалната планировка, двата басейна и детската площадка, част от обслужващата зона в комплекса. Подземният паркинг и подходите към него са изцяло завършени.
-
Апартаментът е със следните параметри:
СТАТУТ - Апартамент
КВАДРАТУРА: Чиста Жилищна площ - 83.47 кв.м., общи площи - 12.13 кв.м.; тераса 13.77кв.м.
БОНУС - ДВОР ЗА ИНДИВИДУАЛНО ПОЛЗВАНЕ 20.77кв.м.
РАЗПРЕДЕЛЕНИЕ: 
Просторна дневна с трапезария и кухненски бокс, 
първа спалня с баня с тоалетна,
втора спалня,
коридор, баня и тоалетна, тераса с излаз от всички стаи.
-
ИЗЛОЖЕНИЕ: ЮГ.
 ОТОПЛЕНИЕ: Газ. Монтирано е индивидуално газово котле 'Viessmann', алуминиеви радиатори, прокарана тръбна мрежа с възможност за климатизация с термопомпи.
СЪСТОЯНИЕ: Издава се на шпакловка и замазка.
-
Комплекса е от затворен тип, Разположен в полите на Витоша той разкрива панорамна гледка към планинските върхове, което е само част от идеята за зеления начин на живот.
Комплексът се състои от общо шест сгради с просторни апартаменти. Изпълнява се с най - висок клас материали и качество на изпълнение!
-
БОНУС - Към цената има включено паркомясто в подземен гараж с контролиран достъп по номер на автомобил.
-
Посочените цени са БЕЗ ДДС.
-
За повече информация, записване за оглед ви очакваме на тел.: 0894 94 20 22
"
92m²,"кв. Витоша, София",False,"149,000",EUR,,1-ви,,,,Тухла,,,,,,,,,,,"АДАМАНТ Недвижими имоти има удоволствието да ви представи Светъл, Пространствен, изцяло Обзаведен и Готов за нанасяне 2 - СТАЕН апартамент на метри от бул. Симеоновско шосе. В близост до: 
 ул. 455
 Спирка на градски транспорт, автобуси 67 и 102;
 Детска градина Монтесори и Слънчеви лъчи;
 Английско училище;
 Детска площадка,
 ЧСУ 'Константин-Кирил Философ' и др. 
-
КВАДРАТУРА: 80.50кв.м.
 РАЗПРЕДЕЛЕНИЕ: Коридор, Пространствен хол с кухненски бокс и трапезария - 20кв.м., голяма спалня - 18кв.м., прекрасна голяма слънчева тераса с излаз от двете стаи.
СЪСТОЯНИЕ: Напълно обзаведен, с всички необходими мебели и ел. уреди.
ОТОПЛЕНИЕ: ГАЗ.
ИЗЛОЖЕНИЕ: ЗАПАД/Северозапад.
-
Възможност за покупка на Голям гараж с ролетна щора точно под апартамента.
-
За повече информация, записване за оглед ви очакваме на тел. : 
0883 22 12 12 - Александра Иванова
"
107m²,"кв. Витоша, София",False,"260,000",EUR,Необзаведен,5-ти,5,,,Тухла,,,,,,,,,,,"АДАМАНТ Недвижими имоти представя екслузивно ПРОСТОРЕН, СЛЪНЧЕВ, ЛУКСОЗЕН И ГОТОВ ДО КЛЮЧ 3 - СТАЕН апартамент С ПРИКАЗНА ГЛЕДКА КЪМ ВИТОША И СТОЛИЦАТА в НОВ ЖИЛИЩЕН КОМПЛЕКС ОТ ЗАТВОРЕН ТИП в непосредствена близост до:

Метростанция Младост 4 и Метростанция Хладилника;
Френски лицей 'Виктор Юго', 64 ОУ 'Цар Симеон Велики', частните училища 'Дрита', 'Рьорих', Частно училище и детска градина 'ЕСПА', частна детска градина и ясла 'Ян-Бибиян';
бул. Симеоновско шосе, бул. Окловръстен път;
Автобусна спирка- номер 67;
Парк Витоша;
Ring Mall, Ikea, Kaufland, Фантастико, Банки, Ресторанти и др.
с бърз и лесен достъп до центъра на града.
-
Етап на строителство: ВЗЕТ АКТ 16
-
Апартаментът е със следните параметри:
СТАТУТ - Апартамент
КВАДРАТУРА: Чиста Жилищна площ - 93.81 кв.м., общи площи - 12.74 кв.м.; тераса 4.42кв.м.
РАЗПРЕДЕЛЕНИЕ:
Просторна дневна с трапезария и кухненски бокс,
първа спалня със склад/дрешник,
втора спалня,
коридор, баня и тоалетна, тераса с излаз от втората спалня и трапезарията.
-
ИЗЛОЖЕНИЕ: ЮГ/ЗАПАД.
ОТОПЛЕНИЕ: Газ. Монтирано е индивидуално газово котле 'Viessmann', алуминиеви радиатори, прокарана тръбна мрежа с възможност за климатизация с термопомпи.
СЪСТОЯНИЕ: Издава се с готови подови настилки, осветление, изцяло обзаведена баня, боядисан, перголи в антрето и завършено отопление на газ. Цялото обзавеждане включва само много висок клас материали. 
-
Комплекса е от затворен тип, Разположен в полите на Витоша той разкрива панорамна гледка към планинските върхове, което е само част от идеята за зеления начин на живот.
Комплексът се състои от общо шест сгради с просторни апартаменти. Изпълнява се с най - висок клас материали и качество на изпълнение!
Изпълнена ел. инсталация, водопроводна инсталация и ОВК инсталация. Монтирани радиатори и газови котли 'Viessmann'. Изцяло завършени общи части. Монтирани асансьори 'Orona' и дограма Reynaers . Комплекса разполага с два басейна, детската площадка,фитнес, подземен паркинг, видеонаблюденние, жива охрана, отключване на входните врати с пръстов отпечатък.
-
Посочените цени са с ДДС!
-
За повече информация, записване за оглед ви очакваме на тел.:
0894 94 20 22 
"
79m²,"кв. Витоша, София",False,"146,999",EUR,Необзаведен,2-ри,5,,,Тухла,,,,,,,,,,,"АДАМАНТ Недвижими имоти представя екслузивно ПРОСТОРЕН, СЛЪНЧЕВ и ЛУКСОЗЕН 2 - СТАЕН апартамент С ПРИКАЗНА ГЛЕДКА КЪМ ВИТОША в  НОВ ЖИЛИЩЕН КОМПЛЕКС ОТ ЗАТВОРЕН ТИП в непосредствена близост до:

Метростанция Младост 4 и Метростанция Хладилника;
Френски лицей 'Виктор Юго', 64 ОУ 'Цар Симеон Велики', частните училища 'Дрита', 'Рьорих', Частно училище и детска градина 'ЕСПА', частна детска градина и ясла 'Ян-Бибиян';
 Автобусна спирка- номер 67;
 Парк Витоша;
 Ring Mall, Ikea, Kaufland, Фантастико, Банки, Ресторанти и др.
 с бърз и лесен достъп до центъра на града.
-
⚠ Етап на строителство: ВЗЕТ АКТ 16
Изпълнена ел. инсталация, водопроводна инсталация и ОВК инсталация. Монтирани радиатори и газови котли 'Viessmann'. Изцяло завършени общи части. Монтирани асансьори 'Orona' и дограма Reynaers . В момента се изгражда ландшафта, вертикалната планировка, двата басейна и детската площадка, част от обслужващата зона в комплекса. Подземният паркинг и подходите към него са изцяло завършени.
-
Апартаментът е със следните параметри:
СТАТУТ - Апартамент
КВАДРАТУРА: Чиста Жилищна площ - 69.02 кв.м., общи площи - 10 кв.м.; тераса 3.52кв.м.
РАЗПРЕДЕЛЕНИЕ:
Просторна дневна с трапезария и кухненски бокс,
спалня, 
баня и тоалетна,
втора тоалетна/склад или дрешник,
коридор, 
тераса с излаз от спалнята и трапезарията.
-
ИЗЛОЖЕНИЕ: ЗАПАД.
 ОТОПЛЕНИЕ: Газ. Монтирано е индивидуално газово котле 'Viessmann', алуминиеви радиатори, прокарана тръбна мрежа с възможност за климатизация с термопомпи.
СЪСТОЯНИЕ: Издава се на шпакловка и замазка.
-
Комплекса е от затворен тип, Разположен в полите на Витоша той разкрива панорамна гледка към планинските върхове, което е само част от идеята за зеления начин на живот.
Комплексът се състои от общо шест сгради с просторни апартаменти. Изпълнява се с най - висок клас материали и качество на изпълнение!
-
Може да разгледате нашата видео разходка на следният линк:

https://www.youtube.com/watch?v=KCsRmjxYkII
-
Посочените цени са С ВКЛЮЧЕНО ДДС!
-
За повече информация, записване за оглед ви очакваме на тел. 0894 94 20 22 Елизабет Миланова
"
78m²,"кв. Витоша, София",False,"138,999",EUR,Необзаведен,2-ри,5,,,Тухла,,,,,,,,,,,"АДАМАНТ Недвижими имоти представя екслузивно ПРОСТОРЕН, СЛЪНЧЕВ и ЛУКСОЗЕН 2 - СТАЕН апартамент С ПРИКАЗНА ГЛЕДКА КЪМ ВИТОША в НОВ ЖИЛИЩЕН КОМПЛЕКС ОТ ЗАТВОРЕН ТИП в непосредствена близост до:

Метростанция Младост 4 и Метростанция Хладилника;
Френски лицей 'Виктор Юго', 64 ОУ 'Цар Симеон Велики', частните училища 'Дрита', 'Рьорих', Частно училище и детска градина 'ЕСПА', частна детска градина и ясла 'Ян-Бибиян';
бул. Симеоновско шосе, бул. Окловръстен път;
Автобусна спирка- номер 67;
Парк Витоша;
Ring Mall, Ikea, Kaufland, Фантастико, Банки, Ресторанти и др.
с бърз и лесен достъп до центъра на града.
-
Етап на строителство: ВЗЕТ АКТ 16
Изпълнена ел. инсталация, водопроводна инсталация и ОВК инсталация. Монтирани радиатори и газови котли 'Viessmann'. Изцяло завършени общи части. Монтирани асансьори 'Orona' и дограма Reynaers . В момента се изгражда ландшафта, вертикалната планировка, двата басейна и детската площадка, част от обслужващата зона в комплекса. Подземният паркинг и подходите към него са изцяло завършени.
-
Апартаментът е със следните параметри:
СТАТУТ - Апартамент
КВАДРАТУРА: Чиста Жилищна площ - 67.91 кв.м., общи площи - 9.87 кв.м.; тераса 2.52кв.м.
РАЗПРЕДЕЛЕНИЕ:
Просторна дневна с трапезария и кухненски бокс,
спалня,
баня и тоалетна,
склад или дрешник,
коридор,
тераса с излаз от спалнята и трапезарията.
-
ОТОПЛЕНИЕ: Газ. Монтирано е индивидуално газово котле 'Viessmann', алуминиеви радиатори, прокарана тръбна мрежа с възможност за климатизация с термопомпи.
СЪСТОЯНИЕ: Издава се на шпакловка и замазка.
-
Комплекса е от затворен тип, Разположен в полите на Витоша той разкрива панорамна гледка към планинските върхове, което е само част от идеята за зеления начин на живот.
Комплексът се състои от общо шест сгради с просторни апартаменти. Изпълнява се с най - висок клас материали и качество на изпълнение!
-
Може да разгледате нашата видео разходка на следният линк:
https://www.youtube.com/watch?v=uLh-Qxj-o28

-
Посочените цени са С ВКЛЮЧЕНО ДДС!
-
За повече информация, записване за оглед ви очакваме на тел.:
0894 94 20 22 Елизабет Миланова
"
150m²,"кв. Витоша, София",False,"265,000",EUR,Обзаведен,3-ти,5,,,Тухла,,,,,,,,,,,"&#127969;АДАМАНТ Недвижими Имоти има Удоволствието да ви представи Прекрасен, изключително функционален и Пространствен 4 - СТАЕН апартамент в кв. Витоша, на метри от бул. Симеоновско шосе и на минути от:&#128652; Спирка на градски транспорт;&#128205;Хранителен магазин;&#128205;Ресторант/Гостилница; &#128696;детска игрална площадка;&#128696;детски градини Щастливата къща и Слънчеви лъчи;&#128205;Посолства, ресторанти и други търговски обекти. -КВАДРАТУРА: 137кв.м. Чиста жилищна площ. Гараж - 30 кв.м.&#10071; РАЗПРЕДЕЛЕНИЕ: 8 ОТДЕЛНИ ПОМЕЩЕНИЯ.Коридор с гардеробна ниша, голям хол с остъклена тераса с трапезария и кухненски бокс, три самостоятелни Непреходни спални, два санитарни възела, мокро - перално помещение, склад/дрешник, остъклен балкон.&#10071; СЪСТОЯНИЕ: Жилището е изключително функционално и просторно. Всяка стая е със собствен вход. Напълно оборудвано с всички необходими мебели и електроуреди. Готово за нанасяне!ОТОПЛЕНИЕ: Газ, с монтирано газово котле и радиатори.&#129517;ИЗЛОЖЕНИЕ: Изток/ Североизток.-Сградата е малка, с много добре поддържани общи части с контролиран достъп.-&#128664;Към апартамента има възможност да се закупят подземно паркомясто и голям гараж с допълнително паркомясто точно до входа. -За повече информация и записване за огледи ви очакваме на:&#128242; 0883221212 - Александра Иванова; 0894/611191."
65m²,"кв. Витоша, София",False,"116,900",EUR,Необзаведен,5-ти,5,Локално отопление,,Тухла,,,,,,,,,,,"С АКТ 16!

Двустаен апартамент с обща площ от 66.22 кв.м. Състои се от: входно антре, всекиндевна с кухненски бокс, спалня, баня с тоалетна и лоджия. Към апартамента има и избено помещение на ниво -1 и подземно паркомясто на цена от 17 500 евро.

Намира се в кв.Витоша, община Студентска, в близост до фитнес 'Next Level' и магазин 'Спорт Бокс'.

Сградата е С Акт 16 от АВГУСТ 2020г!!!

Изложение: Югозапад.

Има готов проек за луксозен интериорен дизайн, който ще бъде предоставен на бъдещият собственик Като бонус към апартамента ще получи и интериорни врати.

Модерна архитектура. Високо качесто на стройтелство. Дограма - петкамерна PVC немска дограма Thyssen , троен стъклопакет!

Месечна такса за поддръжка - 15лв./ месечно!

Перфектен имот както за живеене, така и за инвестиция.

Обадете се сега на 0894 94 20 22 Елизабет Миланова
- - -
With ACT 16!

One-room apartment with a total area of 66.22 sq.m. It consists of: entrance hall, living room with kitchenette, bedroom, bathroom with toilet and loggia. The apartment also has a cellar on level -1 and an underground parking space at a price of 17,500 euros.

It is located in Vitosha district, Studentska municipality, next to the Next Level gym and the Sport Box store.
The building is with Act 16 from AUGUST 2020!!!

Exposure: Southwest.

There is a ready-made project for a luxurious interior design, which will be provided to the future owner. As a bonus to the apartment, he will also receive interior doors.

Modern architecture. High quality of construction. Windows - five-chamber PVC German Thyssen windows, triple glazing!

Monthly maintenance fee - BGN 15/month!

Perfect property for both living and investment.

Call now on 0894 94 20 22 Elizabet Milanova
"
117m²,"кв. Витоша, София",False,"221,480",EUR,Обзаведен,3-ти,7,,,Тухла,,,,,,,,,,,"АДАМАНТ НЕДВИЖИМИ ИМОТИ има удоволствието да Ви представи Многостаен апартамент ГОТОВ ДО КЛЮЧ на 100 метра от Симеоновско шосе, в близост до ресторант High Park Bar and Dinner.
Застроена площ с общи части 116,57кв.м., от които 93,50 кв.м. чиста застроена площ.

Имотът е със завършени под, бани и стени. Готов за живеене.

За ваше улеснение прилагаме разпределение на имота и снимки.

Сградата е с АКТ 16 от 2022г.

За повече информация, моля да се свържете с отговорният агент Елизабет Миланова 089 494 20 22.
"
300m²,"кв. Витоша, София",False,"560,000",EUR,Необзаведен,4-ти,4,Електричество,,Тухла,,,,,,,,,,,"Екипът на YOHOME недвижими имоти има удоволствието да ви представи 4-стаен апартамент в спокойна част на кв. Витоша. АКТ 16! Намира се на 4-ти етаж от 4-етажна сграда, общата площ на имота е 300кв.м. и се състои от: антре, дневна с камина, зона за трапезария, кухня, 3 спални, 3 тераси, 2 бани с тоалетна, има и мазе 7.22кв.м. Едната тераса е с подово отопление и има изводи за зона-барбекю. Отоплението е предвидено на газ и електричество, има монтирани 4 климатика и в целия апартамент има подово отопление. Има СОТ система. Входът е с контролиран достъп, има асансьор. Сградата разполага с озеленен двор с алеи и беседка. Има възможност за закупуване на паркомясто в подземния гараж на сградата на цена 20000евро. В близост до рекичка, бул. Симеоновско шосе и бул. Г.М. Димитров, спирки на градски транспорт, детска градина, търговски обекти, болници, заведения и др.

За повече информация и организиране на оглед, свържете се с нас и цитирайте кода на обявата №8522.

Други предложения може да разгледате и нашия сайт www.yohome.bg."
140m²,"кв. Витоша, София",False,"260,000",EUR,Необзаведен,2-ри,4,Електричество,,Тухла,,,,,,,,,,,"Екипът на YOHOME недвижими имоти има удоволствието да ви представи 3-стаен апартамент в спокойна част на кв. Витоша. АКТ 16! Намира се на 2-ри етаж от 4-етажна сграда, общата площ на имота е 140.82кв.м. и се състои от: антре, дневна с кухненски бокс, 2 спални, 2 тераси, баня с тоалетна, самостоятелна тоалетна, дрешник, има и мазе 7.22кв.м. Отоплението е предвидено на газ и електричество. Входът е с контролиран достъп, има асансьор. Сградата разполага с вътрешен двор с алеи и беседка. Има възможност за закупуване на паркомясто в подземния гараж на сградата. В близост до рекичка, бул.Симеоновско шосе и бул. Г.М. Димитров, спирки на градски транспорт, детска градина, търговски обекти, болници, заведения и др.

За повече информация и организиране на оглед, свържете се с нас и цитирайте кода на обявата №8520.

Други предложения може да разгледате и нашия сайт www.yohome.bg."
