Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
156m²,"жк. Иван Вазов, София",False,"430,000",EUR,Обзаведен,2-ри,7,ТЕЦ,,Тухла,,,,,,,,,,,"Агенция за недвижими имоти 'Perfe' има удоволствеито да Ви представи:


Четиристаен луксозно обзаведен апартамент с локация ж.к. Иван Вазов

Жилището е ситуирано на 2-ри от 7-ми етаж в тухлена кооперация от 2004г.

Разполага с площ от 156 кв.м + 20 кв.м допълнително помещение.

Разпределение: коридор, хол с малка тераса с гледка към бул. Витоша, кухня, три южни спални с обща тераса, две бани с тоалетни, от които едната е с джакузи.

Апартамента е след ремонт, които включва смяна на радиатори и електроинсталация.

Хола и 3те спални са с естествен паркет череша, нареден под формата на фигури и фризове.

Външни и вътрешни щори с дистанционно управление цветен дъб

Отоплението е чрез електричество, посредством климатици.

Възможност за покупка на надземен гараж с площ от 30 кв.м., който е подходящ също и за магазин.

Локацията е комуникативна, в непосредствена близост до спирка на градски транспорт, магазини за хранителни стоки, множество заведения, зони за спорт и отдих.



За повече въпроси и записване на час за оглед, обадете се на тел.: +359 896505656.

Референтен номер на имота: 8201
"
130m²,"жк. Иван Вазов, София",False,"360,000",EUR,Необзаведен,12-ти,12,Електричество,,Тухла,,,,,,,,,,,"Агенция за недвижими имоти 'Perfe' има удоволствето да Ви представи:


Тристаен апартамент за продажба с локация ж.к. Иван Вазов

Жилището е ситуирано на 12 от общо 12 етажа.

Разполага с площ от 130 кв.м. и е със следното практично разпределение:

коридор, хол, кухня, две стаи, баня с тоалетна, тераса.

Възможност за обособяване на още една стая.

Изложение: югоизток, североизток

След основен ремонт по утвърден проект нови дограма, ВиК и електроинсталации, дъбов паркет, не са довършени кухнята и баните.

 Голям безплатен па срещу блока

Локацията е комуникативна, непосредствено до входа на Южен парк, всякакъв вид градски транспорт, магазини, детски градини и училища, наблизо има пазар, мол, поликлиника и спортен комплекс с плувен басейн.

Чисти и поддържани общи части на сградата.


За повече въпроси и записване на час за оглед, обадете се на тел.: +359 896505656.

Референтен номер на имота:28078




"
154m²,"жк. Иван Вазов, София",False,"430,000",EUR,Обзаведен,2-ри,8,Електричество,,Тухла,,,,,,,,,,,"Имоти Премиер представя на Вашето внимание четиристаен апартамент в района на кв.Иван Вазов.



Имотът се намира на ет. 2 от 8 с площ 156 кв.м.



Напълно обзаведен и оборудван апартамент, след основен ремонт.



Състои се от коридор, три южни спални с обща тераса, която е нормално голяма около 10 кв. м. дневен тракт - 40 кв.м. с обособена холова и кухненска част с трапезария и тераса, две бани с тоалетни, от които едната е с джакузи.



Всекидневната и 3-те спални са с естествен паркет череша, нареден под формата на фигури и фризове. Кухнята с трапезарията, коридорите и двете тераси с луксозен гранитогрес , стените са боядисани с висококачествена, луксозна боя 'Осака'. Дограмата е 'Salamander' - цветен дъб кафява, на някой места е 'SHUKO'. Всеки прозорец е с френска мрежа. Инсталирани нови италиански радиатори; климатици 'Фуджицу' - 4 броя; немски врати двустранно фрезовани от истинско дърво от Канбера и син ; кухня с всички електроуреди плот, фурна, съдомиялна, пералня, микровълнова фурна, хладилник; контакти и ключове Мерлин Жерон ; външни и вътрешни щори с дистанционно управление цветен дъб; две блиндирани врати на Солид, 4 К телевизори, както и друга мебелировка по описание. Има възможност за гараж под наем с големина 25м2 на цена 120лв/месец.

Код на обявата:340057"
180m²,"жк. Иван Вазов, София",False,"700,000",EUR,Обзаведен,4-ти,11,ТЕЦ,,Тухла,,,,,,,,,,,"Невероятен дизайнерски апартамент в модерна нова сграда RED APPLE с уникални гледки към Южния Парка и Витоша, ТОП място, охрана и  видеонаблюдение. Състои се от хол с трапезария и кухненски бокс, второ ниво от хола тип емпоре-височина 6 метра(зона за Релакс или кабинет); първо ниво- три спални, две бани, тоалетна за гости, перално помещение и много вградени гардероби, тераса. Дизайнерско обзавеждане и оборудване, отопление и охлаждане с чилърна система. Цената е без ДДС. За повече инф и огледи Мариела Китанова 0888660255, оферта номер 4536!!!
Incredible designer apartment in a modern new RED APPLE building with unique views of South Park and Vitosha, TOP location, security and vide controlled access. It consists of a living room with a dining area and a kitchenette, the second level of the living room type empore- height of 6 meters (area for relaxation or study); first level - three bedrooms, two bathrooms, guest toilet, laundry room and many built-in wardrobes, terrace. Designer furniture and equipment, heating and cooling with chiller system. The price is without VAT. For more info and reviewings Mariela Kitanova 0888660255, offer number 4536 !!!
"
100m²,"жк. Иван Вазов, София",False,"250,000",EUR,Необзаведен,2-ри,6,ТЕЦ,,Тухла,,,,,,,,,,,"Апартамент с ТРИ СПАЛНИ, намира се в стара тухлена кооперация от 1974г. на ул.Янко Забунов в близост до бул. Витош,а стадион Раковски, Южен парк.Тихо и спокойно място с много зеленина. Много добър вход, с нова врата на входа, домофонна уредба и работещ асансьор.Обща площ 103 кв.м, мазе 6 м2.
Изложение: изток, юг, север. Отопление: ТЕЦ. Блиндирана входна врата.PVC дограма. Изцяло сменени са щранговете. Разпределение: дълъг коридор ; Дневна /хол/ с преход към две от спалните, хубава слънчева твраса на три от стаите, самостоятелна с добри размери спалня, трапезария която води към кухненски бокс и към тях има остаклен балкон, баня с възможност да се постави тоалетна, отделно тоалетна. Настилки - естествен паркет Апартамента има нужда от ремонт.!!!ПРИ НАС МОЖЕ ДА СЕ ВЪЗПОЛЗВАТЕ от безплатна консултация с независим кредитен консултант и да получите най-добрите условия за вашия ипотечен кредит!!!
ЛЪКИ НЕДВИЖИМИ ИМОТИ моб.тел. 0884 688 866
Агенцията работи с комисионна.
"
130m²,"жк. Иван Вазов, София",True,"359,000",EUR,Необзаведен,12-ти,12,ТЕЦ,,Тухла,,,,,,,,,,,"К - КОНСУЛТ продава просторен 4-стаен апартамент на входа на Южен парк.
Локацията е повече от желана, поради бързата комуникация с градски транспорт, здравни и учебни заведения, търговски обекти, Плувен комплекс СПАРТАК, мол, метростанция и т.н.
Сградата е построена около 1970г., с поддържани фасада и общи части с два работещи асансьора.
Покривът е в отлично състояние с въздушна възглавница над апартамента.
Апартаментът е с запазен дъбов паркет.
Подготвен е за ремонт, с изравнени стени на шпакловка, поставена е висок клас  PVC дограма, поставена е хидроизолация на терасата, подменени са ВиК и електроинсталациите.
Подадено заявление за фотоволтаична централа със слънчеви панели над терасата с цел постигане на максимална енергийна независимост.
Разпределението е функционално: Входно антре, дневна, две спални, кухня, баня с тоалетна, тоалетна и южна покривна тераса (не е включена в посочената квадратура) с прекрасна гледка към парка.
Изложението е югоизток - североизток.  
Паркира се безпроблемно на безплатен паркинг, в непосредствена близост до блока.
К - КОНСУЛТ предлага висококачествени довършителни работи и ремонтни дейности.
"
154m²,"жк. Иван Вазов, София",True,"430,000",EUR,Обзаведен,2-ри,7,ТЕЦ,,Тухла,,,,,,,,,,,"К - КОНСУЛТ продава луксозен тристаен апартамент в кв. Иван Вазов.
Отлична локация на метри от Южен парк, множество спирки на градски транспорт, ресторанти, търговски обекти, медицински заведения, метростанция Европейски Съюз и още много други
Сградата е улегнало строителство от 2003г., с добре поддържани общи части и контрол на достъп.
Апартаментът е след луксозен ремонт, състои се от: Коридор, дневна с кухненски бокс, хол, три южни спални с обща тераса,  две бани с тоалетни, от които едната е с джакузи и втора тераса. 
Сменени са: радиатори, електроинсталация, ВиК, подови настилки- естествен паркет череша, гранитогрес, дограмата SHUKO и Salamander- цветен дъб - кафява, врати Solid и други.
Има възможност за закупуване на допълнително помещение, подходящо за склад или домашен фитнес - 16кв.м.
Има възможност за закупуване или наемане на гараж - 25 кв.м.
Имотът е изключително атрактивен за живеене, за всички които търсят своят просторен и уютен дом."
156m²,"жк. Иван Вазов, София",True,"430,000",EUR,Обзаведен,2-ри,6,ТЕЦ,,Тухла,,,,,,,,,,,"Предлагаме за продажба на луксозен 4 стаен в близост до Южен парк и бул Витоша в нова тухлена сграда от 2002 год. ,състоящ се от 3 стаи,2 бани /луксозни/,тераса южна .,сменени ВИК и ЕЛ инсталации,немска ПВЦ догр.,подови покрития ."
120m²,"жк. Иван Вазов, София",False,"200,000",EUR,Необзаведен,1-ви,4,Прокарва се,,Тухла,,,,,,,,,,,"Просторен тристаен апартамент със застроена площ от 107 кв.м. Състои се от: голяма дневна, отделна кухня, две непреходни спални в отделен спален тракт, баня с тоалетна, отделна тоалетна и два балкона с излаз от всички стаи. Възможност за лесно преустройство в многостаен апартамент с три спални. Към жилището има мазе от 22 кв.м.
 Обади се сега и цитирай този код 546713"
40m²,"жк. Иван Вазов, София",True,"102,499",EUR,Необзаведен,7-ми,7,ТЕЦ,,Тухла,,,,,,,,,,,"""Инвестконсулт Трейдинг"" предлага гарсониера на ул. Крайще, в близост до пазар ""Иван Вазов"". Жилището е на последен етаж в тухлена сграда с добре поддържани общи части, на последен етаж под въздушна възглавница. Състои се от: входна антре с гардеробна ниша, която може да стане на мокро помещение, кухня, стая с усвоен балкон и баня с тоалетна. В съседство се намира голяма тераса около 50 кв.м., която е обща част на блока, но се ползва предимно от този апартамент. Изложението е изцяло южно. Има прилежащо мазе. Нуждае се от основен ремонт. За огледи и подробности Илиана 08888866009"
