Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
70m²,"жк. Гоце Делчев, София",False,"125,000",EUR,Необзаведен,5-ти,16,ТЕЦ,,ЕПК,,,,,,,,,,,"Предлагам на Вашето внимание жилище, което от двустайно  може да се преустрои в тристайно.Това е възможно да се случи, защото няма преход. Стаите са големи. Състои се от геобразно входно антре, голяма кухня с балкон, лоджия пред нея, който би могъл да бъде усвоен, хол, спалня, баня в която може да бъде монтирана и вана в едно с тоалетна. Има и голям килер, който се свързва с вграден гардероб. ЧЖП е 65 кв. м. Жилището е за ремонт, но е с много добра локация. Изключително комуникативно е. Намира се в много предпочитан район на пешеходно разстояние от южния парк.  Блокът ес видео наблюдение и контролиран достъп. Паркирането е свободно около блока. В близост има множество училища, детски градини, здравни заведения, големи вериги хранителни магазини, както и много удобен транспорт."
88m²,"жк. Гоце Делчев, София",False,"165,000",EUR,Необзаведен,1-ви,4,ТЕЦ,,Тухла,,,,,,,,,,,"Изключителен,монолитен ,непреходен тристаен апартамент, ситуиран в един от най-търсените и предпочитани за живеене и инвестиции район – Гоце Делчев. Районът е с отлично изградена инфраструктура. Непосредствено - МОЛ България,Джъмбо, Лидл, Билла, Фантастико. В близост до училища, детски градини, 20-та поликлиника. Бърз и удобен градски транспорт - трамвай 7, автобуси -73,83, 102,204. Състои се от обширен коридор,опция за вграден гардероб,дневна с кухненски бокс и портал към просторен хол,антре,две самостоятелни спални, баня и тоалетна. Апартаменът е след основен ремонт. Сменени ВИК и ел.инсталации.Висококачествена ПВЦ дограма с допълнителна шумоизолация.Прилежащо мазе- 5кв.м.Много добре поддържан вход,домофонна с-ма, сменена ПВЦ дограма и ремонтиран миналата година покрив. Зад блока има много зеленина с детски площадки и обособен голям паркинг."
72m²,"жк. Гоце Делчев, София",False,"159,000",EUR,Необзаведен,2-ри,6,ТЕЦ,,Тухла,,,,,,,,,,,"Масивна, тухлена кооперация в престижен и комуникативен район със силно развита инфраструктура.Лесен и бърз достъп до центъра на града. Непосредствено до  бул. Гоце Делчев и Южен парк. Просторно жилище, състоящо се от кухня с трапезарна част и хол с балкон, спалня с вграден гардероб, баня с тоалетна, антре с дрешник. Подовите настилки хола са естествен дъбов паркет,коридор  и кухня –ламинат,баня и тоалетна- теракот и фаянс. Сменени вертикални ВИК-щрангове, усвоени тераси с алуминиева дограма , ТЕЦ. Към апартамента има прилежащо  мазе,идеални части от общите части на сградата и правото на строеж.Тихо и комуникативно място, добре поддържан вход и околоблоково пространство с места за паркирине."
120m²,"жк. Гоце Делчев, София",False,"249,000",EUR,Обзаведен,8-ми,9,ТЕЦ,,ЕПК,,,,,,,,,,,"АПАРТАМЕНТ С ВЕЛИЧЕСТВЕНИ ГЛЕДКИ В ЕДИН ОТ НАЙ- ПРЕДПОЧИТАНИТЕ ЗА ЖИВЕЕНЕ РАЙОНА НА СТОЛИЦАТА- ж.к. Гоце Делчев!

Представям ви:

Просторен тристаен апартамент, който притежава чудесни качества за преустройство в четиристаен / с три спални/ имот.

Намира се в ЕПК блок, строителство от 90-те години. Сградата е с чип достъп, портиер и два асансьора.

Жилището е разположено на осми жилищен етаж от девет.

Разполага с 120 кв.м. застроена площ, отделно има мазе и идеални части от правото на строеж.

Опция за покупка на хубав полуподземен гараж с високи тавани и контролиран достъп- ЦЕНА: 30 000 ЕВРО!

Интересно и функционално разпределение, различно от повечето стандартни такива. Има отделна кухня, голяма дневна с трапезария, тоалетна с малка душ кабина, коридор, който отива към две големи спални, втори санитарен възел и тераса, която е разположена пред двете спални.

Изложението на имота е юг и изток изцяло, което го превръща в приятен апартамент с много слънце и топлина.

Отдаван под наем и освободен преди 3 месеца се нуждае от освежителен ремонт: пребоядисване, смяна на паркет в дневната, ремонт на баните. Продава се с наличното обзавеждане, в добро състояние. Има направена външна и вътрешна топлоизолация. Дограмата е алуминиева и ПВЦ.

Района се характеризира с близостта си до бул. България, бул. Тодор Каблешков, МОЛ България, Южен парк, Околовръстен път, спирки на множество градски транспорт, големи магазини и др.

Ако не можете да го разгледате на живо, Ви предоставям тази възможност да го направите чрез това 3D, линк: https://mpembed.com/show/?m=ux6fUbuWaSM©right=Xcelsior%20Cinematics&logo=https://primoplus.bg/wp-content/uploads/2019/07/Primo-2-BG_R_no_re.png

Ако пък все пак искате да му се насладите на живо, съм на ваше разположение с ключ в удобно време. Моля свържете се с мен на 0882 543 066. 
"
87m²,"жк. Гоце Делчев, София",False,"175,000",EUR,Необзаведен,Партер,5,Локално отопление,,Тухла,,,,,,,,,,,"Имоти Премиер представя на Вашето внимание двустаен апартамент в кв. Гоце Делчев. Жилището се състои от входно антре, хол с кухненски бокс, спалня, баня с тоалетна, склад и парко място. Комплексът има собствен парк от 3 дка с детска площадка и е разположен на метри от планирания линеен парк. Комплексът е на около 200м от Бул. 'Тодор Каблешков и на 5мин пеша от Втора Немска гимназия. Акт 16 пролетта на 2023.

Код на обявата: 337070"
62m²,"жк. Гоце Делчев, София",False,"124,000",EUR,Обзаведен,4-ти,8,ТЕЦ,,Панел,,,,,,,,,,,"Имоти Премиер представя на Вашето внимание двустаен апартамент в кв. Гоце Делчев.

Жилището е с площ 62 кв.м. и се състои от антре, кухня, спалня, хол, баня с тоалетна, усвоена тераса. Намира се на четвърти етаж в панелен блок.

Изложение Изток-Запад, отоплението - ТЕЦ.

Отлична локация - в близост до главни булеварди, училища, детски градини, магазини.

КОД: 340825."
79m²,"жк. Гоце Делчев, София",False,"201,000",EUR,Обзаведен,7-ми,11,ТЕЦ,,Тухла,,,,,,,,,,,"Имоти Премиер представя на Вашето внимание ,прекрасен апартамент с гледка към Витоша.Намира се в тиха уличка ,същевременно на идеална локация.

състои се от хол с кухня,спалня ,баня с тоалетна и просторна тераса с панорамна гледка.Към апартамента има включен гараж на цена 19000 евро

КОД НА ОБЯВАТА:№ 336572"
136m²,"жк. Гоце Делчев, София",False,"283,674",EUR,,5-ти,10,,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава тристаен апартамент в кв. Гоце Делчев в нова луксозна сграда, разположена на комуникативно близо до Южен парк, спирки на градски транспорт, магазини, заведения, хипермаркети. Жилището се състои от: входно антре, дневна с кухненски бокс и трапезария, две спални, две бани с тоалетна, две тераси. Възможност за покупка на паркоместа и гаражи. В сградата предлагаме и други апартаменти. Качествено строителство от ДОКАЗАН СТРОИТЕЛ. Оферта в агенцията  8739. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 02/421 96 35 / 0886 13 22 91 Димитър Георгиев
"
110m²,"жк. Гоце Делчев, София",False,"235,129",EUR,,7-ми,10,,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава тристаен апартамент в кв. Гоце Делчев в нова луксозна сграда, разположена на комуникативно близо до Южен парк, спирки на градски транспорт, магазини, заведения, хипермаркети. Жилището се състои от: входно антре, дневна с кухненски бокс и трапезария, две спални, две бани с тоалетна, три тераси, мокро помещение. Възможност за покупка на паркоместа и гаражи. В сградата предлагаме и други апартаменти. Качествено строителство от ДОКАЗАН СТРОИТЕЛ. Оферта в агенцията 8740. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 02/421 96 35 / 0886 13 22 91 Димитър Георгиев
"
45m²,"жк. Гоце Делчев, София",True,"115,000",EUR,Полуобзаведен,4-ти,8,ТЕЦ,,Панел,,,,,,,,,,,"""АСГАРД ПРОПЪРТИС"" продава слънчева, панорамна гарсониера с перфектна локация в желания квартал ""Гоце Делчев"". Жилището е на 4-ти етаж с асансьор и се състои от дневна, самостоятелна кухня, баня с тоалетна, коридор и голяма тераса по продължение на целия апартамент. 45 кв.м. чиста площ, в която не е включена терасата. Вътрешен, изцяло югоизточен апартамент с гледка към големи зелени площи и дървета. PVC дограма със стъклопакет ""4 сезона"", блиндирана входна врата, сменени инсталации.Изключително добре уреден район на минути от Южния парк, в близост до множество магазини, заведения и спирки на градския транспорт. Отопление: ТЕЦ. За контакти: 0899/032-036, 02/465-19-50. "
