Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
130m²," Студентски Град, София",False,"107,000",EUR,Обзаведен,5-ти,6,,,Тухла,,,,,,,,,,,"ТИАРА имоти представя ТРИСТАЕН апартамент в тихата и спокойна част на Студентки град. Апартаментът се намира на ул. 21 Век на пешеходно разстояние от спирки на градски транспорт, както и магазини Кауфланд, Фантастико, Лидъл. В близост са три детски градини и училище. 
Жилището е с чиста квадратура 115кв.м, от които 40кв.м. остъклена и оборудвана тераса. 
Разпределение: антре, всекидневна с кухненски бокс, две спални, баня с тоалетна. 
ЦЕНА НА ИМОТА: 107 000€
Огледи: след предварителна уговорка
ТЕЛ: 0888 538 583
"
46m²," Студентски Град, София",False,"97,000",EUR,Обзаведен,5-ти,6,Електричество,,Тухла,,,,,,,,,,,"Имоти Комфорт Ви предлага  инветиционен имот на границата между кв. Витоша и кв. Студентски град. Апартаментът е напълно обзаведен отопление на климатик много ниски разходи през зимата подходящ, както за отдаване под наем с цел инвестиция (700лв наем), така и за живеене. Намира се на комуникативно място в близост до хранителни магазини, заведения и автобусни спирки.
"
79m²," Студентски Град, София",False,"165,000",EUR,Необзаведен,6-ти,8,ТЕЦ,,Тухла,,,,,,,,,,,"Имоти Сердика 1 продава двустаен апартамент в ж.к. Студентски град. Имотът е с площ 79,42кв.м. с общи части, находящ се на шести етаж от осем етажна сграда. Състои се от входно антре, хол с кухненски бокс с излаз на балкон и спалнята е с излаз към балкона, баня с тоалетна. Апартамента е след основен ремонт, включително и банята с тоалетна, чисто нова и оборудвана. Необзаведен, изложение - запад. Стаите са с паркет, лампи и пердета. Готов за нанасяне. Сградата е луксозна с вентилируема окачена фасада и луксозни общи части. Намира се до Зимния дворец, в близост спирки на градския транспорт, комуникативна локация. Подходяща за живеене и инвестиция. За оглед на това и други атрактивни предложения, не се колебайте да ни потърсите на посочения телефон за връзка. В случай, че не ви отговорим на момента, ще ви върнем обаждане при първа възможност. Предлагаме безплатно съдействие за отпускане на ипотечни и потребителски кредити. Преференциални условия! Още актуални оферти за наеми и продажби може да намерите в нашия сайт: www.serdika1.bg. ID:15758
"
68m²," Студентски Град, София",False,"119,990",EUR,Необзаведен,5-ти,5,Локално отопление,,Тухла,,,,,,,,,,,"ЮЖНО ИЗЛОЖЕНИЕ! С АКТ 16!
Двустаен апартамент с обща площ от 66.22 кв.м. Състои се от: входно антре, всекиндевна с кухненски бокс, спалня, баня с тоалетна и лоджия. Към апартамента има и избено помещение от 1.75 кв.м. също и подземно парко място на цена от 17 000евро. 
Намира се в кв. Витоша, община Студентска, до фитнес 'Next Level' и магазин 'Спорт Бокс'.
Сградата е С Акт 16 от АВГУСТ 2020г!!!
Изложение: Югозапад.
Има готов проек за луксозен интериорен дизайн, който може да бъде предоставен на бъдещият собственик.
Модерна архитектура. Високо качесто на стройтелство. Дограма - петкамерна PVC немска дограма Thyssen , троен стъклопакет!
Месечна такса -15лв!
Перфектен имот както за живеене, така и за инвестиция.
Обадете се сега на 0894 94 20 22 Елизабет Миланова
"
182m²," Студентски Град, София",False,"273,000",EUR,Обзаведен,3-ти,4,,,Тухла,,,,,,,,,,,"Продавам просторно жилище, на две нива, в жилищна сграда в кв. Студентски град, гр. София. Сградата е с акт 16 от 2007г.
Жилището е собственост на строителя на сградата. Преградено е на две жилища, с два входа. Има изградена голяма камина, която отоплява и горния етаж на жилището. Има три спални, просторен слънчев хол, с гледка към парка, три тоалетни и две бани. Подовите настилки са с масивен дъбов паркет. В момента, жилището е с наематели. Сградата се намира на комуникативно място, на пешеходно разстояние от метростанция, на спирка на градския транспорт, до парк Мир и Дружба , на тихо и спокойно място, в близост до унверситети, училища и детски градини, в район с населени жилищни сгради, бизнес сгради, супермаркети.
"
46m²," Студентски Град, София",False,"99,000",EUR,,4-ти,5,,,Тухла,,,,,,,,,,,"ЗАПАДЕН! ЗА ИНВЕСТИЦИЯ! АКТ16!
Екипът на YOHOME недвижими имоти има удоволствието да ви представи двустаен апартамент на ул.Кирил Попов. Имотът се намира на четвърти жилищен етаж и е със следното разпределение: входно антре, хол с тераса и спален кът, баня с тоалетна.Имотът е със западно изложение. Отоплението е на електричество. Жилището е със статут на студио.
За повече информация и организиране на оглед се свържете с нас и цитирайте кода на обявата: №8705"
75m²," Студентски Град, София",False,"107,899",EUR,Необзаведен,3-ти,5,ТЕЦ,,Тухла,,,,,,,,,,,"ИЗЦЯЛО ИЗТОЧЕН! КОМУНИКАТИВЕН! СРЕДЕН ЕТАЖ ! ПРЕД АКТ15!
Екипът на YOHOME недвижими имоти има удоволствието да ви представи двустаен апартамент в кв. Студентски град в близост до LaSkara. Апартаментът се намира на 3-ти жилищен етаж и е с площ е 75кв.м разгърнати в следното разпределение: входно антре, всекидневна, тераса , спалня, баня с тоалетна. Имотът е с изцяло източно изложение. Отоплението е на ТЕЦ и електричество. Жилището е пред Aкт15, като Акт16 се очаква средата на 2023 година. Доказан инвеститор с дългогодишен опит на пазара. В непосредствена близост се намират: Симеоновско шосе, Околовръстен път, спирки на градски транспорт, супермаркети, и др.
За повече информация и организиране на оглед се свържете с нас и цитирайте кода на обявата: №9007."
62m²," Студентски Град, София",False,"123,939",EUR,Обзаведен,3-ти,9,Електричество,,Тухла,,,,,,,,,,,"ФУНКЦИОНАЛЕН!!! АКТ 16!!! СПОКОЙСТВИЕ И УЮТ!!!

EVOLUT недвижими имоти представя на Вашето внимание напълно обазаведен и готов за нанасяне двустаен апартамент с югоизточно изложение. Ниски месечни такси и сметки. Жилището е разположено в най-комуникативната и същевременно спокойна част на Студентски град. В близост до спирки на градски транспорт, магазини, фитнес център и университети. Сградата разполага с видео наблюдение, контролиран достъп и добре поддържани общи части. Апартаментът е разположен на 3ти жилищен етаж и се състои от антре, дневен тракт с кухненски бокс, спалня и баня с тоалет. Спалнята е направена с допълнителна топло и шумоизолация. Към жилището има мазе. Имотът е със статут на апартамент и се продава напълно завършен качествени материали от висок клас, обзаведен и оборудван с поръчкови мебели и ел. уреди. За допълнително улеснение прилагаме схема с разпределението на имота. Обадете се сега и превърнeте това прекрасно жилище във Вашият нов дом! При интерес се обадете и цитирайте този код: 31402"
95m²," Студентски Град, София",False,"166,469",EUR,Обзаведен,3-ти,7,,,Тухла,,,,,,,,,,,"Агенция за недвижими имоти 'Perfe' представя на Вашето внимание: 
Двустаен апартамент за продажба с локация ж.к. Студентски град.

Жилището е ситуирано на 3-ти жил. етаж като разполага с площ от 95 кв.м. и е със следното практияно разпреденелие: входно антре, хол с кухненски бокс, спалня, баня с тоалетна, мокро помещение, балкон.

Локацията е изключително комуникативна в непосредствена близост до спирки на градски транспорт, супермаркети, НСА, денонощни магазини, аптеки, множество заведения в района.

Апартамента е обзаведен с мебели по поръчка. 
Банята и подовите настилки са с Италиански плочки. 
Дневната и спалнята са с немски ламинат с устойчиво покритие. 
Стените са висок клас боя-Клара керамик и Левис, Италиански тапети. 
Интериорни врати по поръчка. 
Има всички необходими уреди и обзавеждане, също бойлер и пералня. 

Газифициран с котел Вайсмън-най високия клас. 
 

Сградата е с контролиран достъп и луксозни общи части, чиста и поддържана. 
Към апартамента може да се закупи отделно и паркомясто в ПОДЗЕМЕН гараж - 12 000 евро


Разполагаме с множество имоти, които не са обявени в публичното пространство.

За повече въпроси и записване на час за оглед ,моля, обадете се на тел: +359896505656

Референтен номер на имота: 18053


"
36m²," Студентски Град, София",False,"71,900",EUR,Обзаведен,2-ри,6,ТЕЦ,,Тухла,,,,,,,,,,,"Агенция New Way има удоволствието да ви представи едно прекрасно жилище в сърцето на Студентски град в близост до магазин Фантастико и зала Христо Ботев. Апартаментът е еднопространствен, напълно обзаведен с нови мебели и е след освежителен ремонт, подходящ както за сам човек , така и за двама. Отоплението е с ТЕЦ. Луксозна сграда с контролиран достъп и добре поддържани общи части. Номер в агенцията 5533.
"
