Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
82m²," Идеален Център, София",True,"219,900",EUR,Обзаведен,5-ти,6,ТЕЦ,,Тухла,,,,,,,,,,,"3 стаен в близост до НДК ,82 кв м ,разгърнати както следва:кухня с балкон ,две непреходни стаи,вестибюл,килер,баня,тоалетна ,прилежащи мазе и таван,ид.части земя."
90m²," Идеален Център, София",True,"370,000",EUR,Обзаведен,1-ви,5,ТЕЦ,,Тухла,,,,,,,,,,,"К - КОНСУЛТ продава луксозен 3-стаен апартамент на метри от градина Буката, Софийски районен съд и НДК.
Локацията е изключително желана, както за живеене, така и за инвестиция, в непосредствена близост до метростанции, множество спирки на градски транспорт, търговски обекти, заведения, банки, аптеки, училища, детски градини и всички други удобства, които предоставя центъра на столицата.
Сградата е построена през 1960г., входът е след ремонт, с поставена нова входна врата с контрол на достъп и видеонаблюдение.
Апартаментът е саниран, след основен луксозен ремонт, сменени са всички комуникации.
Разпределението е следното: Входно антре; дневна; кухня; две спални; баня с тоалетна и тераса, гледаща към вътрешен двор.
Имотът има прилежащи таван и мазе, както и идеални части от сградата.

"
77m²," Идеален Център, София",True,"300,000",EUR,Полуобзаведен,5-ти,6,ТЕЦ,,Тухла,,,,,,,,,,,"К - КОНСУЛТ продава светъл 3-стаен апартамент в района на Докторски паметник.
Локацията се отличава с изключителна комуникативност, спрямо спирки на градски транспорт, метростанции, учебни заведения, сгради на културата, разнообразни развлечения и много други.
Елитна тухлена сграда, построена през 1960г., с отлично поддържани общи части и контрол на достъп.
Сградата разполага с вътрешен двор за живущите.
Апартаментът е слънчев с панорамни гледки към центъра.
Състои се от: Входно антре, дрешник, голям преходен хол, кухня с балкон, две спалня, баня с тоалетна и втори балкон.
Към имота има прилежащи таван в добро състояние - 12кв.м. и мазе - 5кв.м.
С имота се прехвърлят 1/3 идеални части от парцела и 1/2 от правото му на строеж. 
Жилището е със сменена дограма, нуждае се от освежителен ремонт.
 К - КОНСУЛТ предлага висококачествени довършителни работи и дизайн, съобразени с вкуса и предпочитанията на всеки клиент.
Имотът е изключително атрактивен, както за закупуване за собствено ползване, така и с цел инвестиция."
74m²," Идеален Център, София",True,"345,000",EUR,Обзаведен,2-ри,4,Електричество,,Тухла,,,,,,,,,,,"К - КОНСУЛТ продава луксозен 3-стаен апартамент на метри от НДК.
Сградата е старо и улегнало строителство, със санирана фасада, общи части са в отлично състояние, с контрол на достъп и сменена дограма. В сградата са сменени ВиК и Ел инсталациите.
Намира се на метри от НДК, метростанция НДК, бул. Витоша, множество спирки на градски транспорт, разнообразни търговски обекти, заведения, ресторанти и всички други удобства, които предоставя центъра на столицата.
Апартаментът е след луксозен ремонт по дизайнерски проект, изцяло обзаведен и оборудван с висок клас електроуреди и мебели по поръчка.
Състои се от: Коридор, дневна с кухненски бокс, две спални, баня с тоалетна, втора тоалетна и тераса с гледка.
Жилището разполага с мазе - 20кв.м.
Продава се във вида на снимките. Имотът е изключително атрактивен, както за закупуване за собствено ползване, така и с цел инвестиция, за всички които търсят своят прекрасен нов дом."
50m²," Идеален Център, София",True,"255,000",EUR,Обзаведен,3-ти,7,ТЕЦ,,ЕПК,,,,,,,,,,,"К - КОНСУЛТ продава луксозен двустаен апартамент в района на Докторски паметник.
Сградата се намира между Докторски паметник и Парк Заимов, множество заведения, ресторанти търговски обекти, спирки на градски транспорт, метростанции, посолства, както и всички други удобства, които предоставя центъра на столицата.
Входът е с чисти и поддържани общи части.
 Апартаментът е след основен ремонт, сменени са ВиК и Ел инсталациите, с поставен висок клас PVC дограма, нови интериорни врати, нови подови настилки, обновена баня и много други.
Състои се от: Входно антре с вграден гардероб, трапезария с напълно оборудван кухненски бокс, спална, баня с тоалетна, терасата е усвоена. 
Апартаментът е изключително топъл, изцяло източно изложение.
Жилището разполага с мазе.
Имотът е изключително атрактивен, както за закупуване за собствено ползване, така и с цел инвестиция, за всички които търсят своя уютен и луксозен дом."
125m²," Идеален Център, София",True,"315,000",EUR,Необзаведен,1-ви,4,ТЕЦ,,Тухла,,,,,,,,,,,"К - КОНСУЛТ продава 4-стаен апартамент в масивна тухлена сграда - улегнало строителство от 1939г. в непосредствена близост до пл. Македония, НДК, бул. Витоша.
Имотът е с изключителен потенциал, поради ключовата си локация, качествената, доказала се архитектура, просторните помещения с височина на таваните 3м.
Апартаментът- 125кв.м. се състои от: Коридор, три спални, дневна, трапезария и кухня. 
Жилището е с излаз на прекрасен вътрешен двор.
Отоплението е решено на ТЕЦ
Поставена е PVC дограма.
Жилището разполага с избено помещение- 20кв.м. (намира се под дневната) и таван 10- кв.м. Таванът и мазето не са включени в посочената квадратура. 
Апартаментът се нуждае от ремонт.
К - КОНСУЛТ предлага висококачествени довършителни работи и ремонтни дейности, съобразени с предпочитанията и бюджетът на всеки клиент."
130m²," Идеален Център, София",True,"330,000",EUR,Необзаведен,5-ти,5,Електричество,,Тухла,,,,,,,,,,,"К - КОНСУЛТ продава аристократичен апартамент, намиращ се в идеален център на ул. Алабин И. Вл. и площад Македония.
Ключова и желана локация, на метри от множество спирки на градски транспорт, площад Витоша, НДК, метростанции, множество спирки на градски транспорт, разнообразни търговски обекти, държавни учреждения, учебни заведения и много други.
Сградата е санирана, представлява масивно улегнало строителство от 1936г. с отлично ремонтирани и поддържани общи части, със сменена дограма и масивна заключваща се входна врата.
Апартаментът се състои от: Входно антре, три стаи, вестибюл, кухня, баня с тоалетна, тоалетна и тераса.
Помещенията са просторни с височина на таваните 3,20м.
Изложението е: Изток, Запад, Юг.
Към апартамента има мазе- 5кв.м. и таван- 5кв.м. (не са прибавени към посочената площ).
Апартаментът разполага с 20кв.м. двор.
Жилището се нуждае от ремонт.
К - КОНСУЛТ предлага висококачествени довършителни работи и ремонтни дейности, съобразени с предпочитанията и бюджета на всеки клиент.
"
110m²," Идеален Център, София",True,"300,000",EUR,Обзаведен,2-ри,5,ТЕЦ,,Тухла,,,,,,,,,,,"На минути пеша до НДК, многостаен функционален апартамент с паркомясто в цената, идеален център на гр.София.
Агенция „Артисстрой"" /www.artisstroy.com/ предлага: многостаен просторен  функционален апартамент с реална площ  110 кв.м на ет.2 / първи надпартерен/ от общо 5 в тухлена масивна сграда от 70-те години в идеален център. 
Разпределение: антре,  хол , три стаи , кухня,  отделни баня и тоалетна , две тераси, мокро помещение. Към апартамента има мазе и надземно паркоместо . Отопление: централно ТЕЦ. Изложение: ЮГ,север. Състояние: за освежителен ремонт, ПВЦ дограма, настилките са естествен паркет.
Локация: идеален център,  НДК и метростанция на минути пеша. 
Агенцията ОСИГУРЯВА БЕЗПЛАТНО СЪДЕЙСТВИЕ ПРИ ИПОТЕЧНИ БАНКОВИ КРЕДИТИ.Всички довършителни ремонти, освежаване. Оферта No 1013954
Други предложения за ново строителство моля на:
http://artisstroy.com/board/s-o-f-i-ja-i-m-o-t-i/apartamenti/tristaen-apartament
A few minutes’ walk to the National Palace of Culture, a multi-room functional apartment with a parking space included in the price, an ideal center of Sofia. 
Agency ”Artisstroy” /www.artisstroy.com/ offers: a multi-room spacious functional apartment with a real area of 110 sq.m on the 2nd floor of a total of 5 in a massive brick building from the 70s in an ideal center. 
Layout: entrance hall, living room, three rooms, kitchen, separate bathroom and toilet, two terraces, utility room. The apartment has a basement and an above-ground parking space. Heating: central CHP. Exposure: South, North. Condition: for refreshing renovation, PVC joinery, flooring is natural parquet. 
Location: ideal center, NDK and metro station minutes away by foot.
The agency PROVIDES FREE ASSISTANCE WITH MORTGAGE BANK LOANS. All finishing repairs. Offer No. 1013954


Инвестиция в идеальном центре! Многокомнатная квартира с паркингом в цене, в пешей доступности до НДК. 
Агентство «Артисстрой» /www.artisstroy.com/ предлагает: просторную многокомнатную функциональную квартиру реальной площадью 110 кв.м на 2-ом этаже из 5 в массивном кирпичном доме с 70-х годов в идеальном центре г.София. 
Планировка: прихожая,  гостиная, три спальни, кухня, отдельная ванная и туалет,  две террасы. К квартире прилагаются  склад и паркоместо. 
Расположение: идеальный центр города, спокойная улица, на 5 мин.пешком до НДК и метростанция, множество современных кафе, баров и ресторанов. 
Агенство предлагает бесплатные консультации и содействие по ипотечным кредитам.
Ремонты „ до ключ“. Предложение № 1013954
Еще больше вариантов пожалуйста здесь: http://artisstroy.com/board/s-o-f-i-ja-i-m-o-t-i/apartamenti/tristaen-apartament
"
78m²," Идеален Център, София",True,"198,000",EUR,Обзаведен,3-ти,5,ТЕЦ,,Тухла,,,,,,,,,,,"Ексклузивна оферта на Агенция Орбита в центъра на София, ул. Дукатска планина. С КЛЮЧ! ЗП на имота е 73 кв.м. с прилежащо мазе 10 кв.м. и възможност за паркиране в двора на сградата. Районът е предпочитан заради отличната комуникация: транспортни връзки до всички точки на града, метростанция Медицинска академия, автобуси - 604, 72, тролей - 2, 9, трамвай   5, в близост до училища, детски градини, магазини. Апартаментът е на 2-ри етаж, състои се от еднопространствено помещение с обособени: кухненски бокс, дневна, и помещение за отдих, офис с пряка светлина. По желание може да се върне в предишния му вид. Има голяма южна тераса, обзаведен, подови настилки- паркет и теракот, климатик, вътрешни ролетни щори. Баня с душ кабина и вана, тоалетна с мрамор./оферта 28/ водещ офертата Лидия Пенчева 0888316272"
169m²," Идеален Център, София",True,"310,000",EUR,Обзаведен,4-ти,5,Електричество,,Тухла,,,,,,,,,,,"Оферта 7765 ЕКСКЛУЗИВНО! Продава просторен апартамент с три спални, 169 кв.м.  в Идеален център / до Министерски съвет /. Апартаментът се намира на четвърти етаж / над него е таванския етаж / в тухлена сграда, с добре поддържани общи части, строителство - 1930 г. Разпределение: антре; дневна; кухня; три спални; баня с тоалетна; балкон / към кухнята /.  Изложение: запад - дневна и две спални / изток - спалня / север - кухня. Дограмата е PVC. Отоплението е на електричество. Жилището е в много добро състояние. Към него има мазе - 10 кв.м и таванско помещение - 10 кв.м. Продава се с идеални части от дворното място, в което е построена жилищната сграда."
